spade-final-2026-08-23 · C2 · hill d=6 sigma=0.1 · tier=primary
1 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'TARGET'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[   1/100] doe_unscreened       033466197eba seed=0   rows=12 (0.1m, eta 6m)
[   2/100] doe_unscreened       033466197eba seed=1   rows=12 (0.1m, eta 5m)
[   3/100] doe_unscreened       0a6e0788538a seed=0   rows=12 (0.2m, eta 5m)
[   4/100] doe_unscreened       0a6e0788538a seed=1   rows=12 (0.2m, eta 5m)
[   5/100] doe_unscreened       0ed87c75239d seed=0   rows=12 (0.3m, eta 5m)
[   6/100] doe_unscreened       0ed87c75239d seed=1   rows=12 (0.4m, eta 6m)
[   7/100] doe_unscreened       32bb966a18f1 seed=0   rows=12 (0.4m, eta 6m)
[   8/100] doe_unscreened       32bb966a18f1 seed=1   rows=12 (0.5m, eta 5m)
[   9/100] doe_unscreened       443c180247c1 seed=0   rows=12 (0.6m, eta 6m)
[  10/100] doe_unscreened       443c180247c1 seed=1   rows=12 (0.6m, eta 6m)
[  11/100] doe_unscreened       48b1324dd046 seed=0   rows=12 (0.7m, eta 6m)
[  12/100] doe_unscreened       48b1324dd046 seed=1   rows=12 (0.8m, eta 6m)
[  13/100] doe_unscreened       4d4f7158b65b seed=0   rows=12 (0.9m, eta 6m)
[  14/100] doe_unscreened       4d4f7158b65b seed=1   rows=12 (0.9m, eta 6m)
[  15/100] doe_unscreened       51cf489c521a seed=0   rows=12 (1.0m, eta 5m)
[  16/100] doe_unscreened       51cf489c521a seed=1   rows=12 (1.0m, eta 5m)
[  17/100] doe_unscreened       578e5d876835 seed=0   rows=12 (1.1m, eta 5m)
[  18/100] doe_unscreened       578e5d876835 seed=1   rows=12 (1.2m, eta 5m)
[  19/100] doe_unscreened       59e420274f43 seed=0   rows=12 (1.3m, eta 5m)
[  20/100] doe_unscreened       59e420274f43 seed=1   rows=12 (1.3m, eta 5m)
[  21/100] doe_unscreened       5b3926ef2c5f seed=0   rows=12 (1.4m, eta 5m)
[  22/100] doe_unscreened       5b3926ef2c5f seed=1   rows=12 (1.4m, eta 5m)
[  23/100] doe_unscreened       763e0f589258 seed=0   rows=12 (1.5m, eta 5m)
[  24/100] doe_unscreened       763e0f589258 seed=1   rows=12 (1.5m, eta 5m)
[  25/100] doe_unscreened       7b6071e568a9 seed=0   rows=12 (1.6m, eta 5m)
[  26/100] doe_unscreened       7b6071e568a9 seed=1   rows=12 (1.6m, eta 5m)
[  27/100] doe_unscreened       7ef3fc89acec seed=0   rows=12 (1.7m, eta 5m)
[  28/100] doe_unscreened       7ef3fc89acec seed=1   rows=12 (1.7m, eta 4m)
[  29/100] doe_unscreened       7f5c7431c053 seed=0   rows=12 (1.8m, eta 4m)
[  30/100] doe_unscreened       7f5c7431c053 seed=1   rows=12 (1.9m, eta 4m)
[  31/100] doe_unscreened       8abe35e93ddf seed=0   rows=12 (2.0m, eta 4m)
[  32/100] doe_unscreened       8abe35e93ddf seed=1   rows=12 (2.1m, eta 4m)
[  33/100] doe_unscreened       9414bc879284 seed=0   rows=12 (2.4m, eta 5m)
[  34/100] doe_unscreened       9414bc879284 seed=1   rows=12 (2.5m, eta 5m)
[  35/100] doe_unscreened       9f3cdb4d835c seed=0   rows=12 (2.6m, eta 5m)
[  36/100] doe_unscreened       9f3cdb4d835c seed=1   rows=12 (2.7m, eta 5m)
[  37/100] doe_unscreened       c75f6d6f50fe seed=0   rows=12 (2.7m, eta 5m)
[  38/100] doe_unscreened       c75f6d6f50fe seed=1   rows=12 (2.8m, eta 5m)
[  39/100] doe_unscreened       ce7334da318b seed=0   rows=12 (2.8m, eta 4m)
[  40/100] doe_unscreened       ce7334da318b seed=1   rows=12 (2.9m, eta 4m)
[  41/100] doe_unscreened       da5ec2fbb20c seed=0   rows=12 (3.0m, eta 4m)
[  42/100] doe_unscreened       da5ec2fbb20c seed=1   rows=12 (3.0m, eta 4m)
[  43/100] doe_unscreened       e402c32907f2 seed=0   rows=12 (3.1m, eta 4m)
[  44/100] doe_unscreened       e402c32907f2 seed=1   rows=12 (3.1m, eta 4m)
[  45/100] doe_unscreened       e946207e9dfe seed=0   rows=12 (3.2m, eta 4m)
[  46/100] doe_unscreened       e946207e9dfe seed=1   rows=12 (3.3m, eta 4m)
[  47/100] doe_unscreened       ef2815cdafff seed=0   rows=12 (3.3m, eta 4m)
[  48/100] doe_unscreened       ef2815cdafff seed=1   rows=12 (3.4m, eta 4m)
[  49/100] doe_unscreened       f79c5cf17503 seed=0   rows=12 (3.4m, eta 4m)
[  50/100] doe_unscreened       f79c5cf17503 seed=1   rows=12 (3.5m, eta 3m)
[  51/100] doe_unscreened       033466197eba seed=2   rows=12 (3.6m, eta 3m)
[  52/100] doe_unscreened       0a6e0788538a seed=2   rows=12 (3.7m, eta 3m)
[  53/100] doe_unscreened       0ed87c75239d seed=2   rows=12 (3.7m, eta 3m)
[  54/100] doe_unscreened       32bb966a18f1 seed=2   rows=12 (3.8m, eta 3m)
[  55/100] doe_unscreened       443c180247c1 seed=2   rows=12 (3.8m, eta 3m)
[  56/100] doe_unscreened       48b1324dd046 seed=2   rows=12 (3.9m, eta 3m)
[  57/100] doe_unscreened       4d4f7158b65b seed=2   rows=12 (4.0m, eta 3m)
[  58/100] doe_unscreened       51cf489c521a seed=2   rows=12 (4.0m, eta 3m)
[  59/100] doe_unscreened       578e5d876835 seed=2   rows=12 (4.1m, eta 3m)
[  60/100] doe_unscreened       59e420274f43 seed=2   rows=12 (4.1m, eta 3m)
[  61/100] doe_unscreened       5b3926ef2c5f seed=2   rows=12 (4.2m, eta 3m)
[  62/100] doe_unscreened       763e0f589258 seed=2   rows=12 (4.3m, eta 3m)
[  63/100] doe_unscreened       7b6071e568a9 seed=2   rows=12 (4.4m, eta 3m)
[  64/100] doe_unscreened       7ef3fc89acec seed=2   rows=12 (4.4m, eta 2m)
[  65/100] doe_unscreened       7f5c7431c053 seed=2   rows=12 (4.5m, eta 2m)
[  66/100] doe_unscreened       8abe35e93ddf seed=2   rows=12 (4.5m, eta 2m)
[  67/100] doe_unscreened       9414bc879284 seed=2   rows=12 (4.6m, eta 2m)
