spade-final-2026-08-23 · C3 · hartmann6 d=6 sigma=0.25 · tier=primary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[   1/1100] spade_cf_m0          hartmann6    seed=0   rows=12 (0.0m, eta 39m)
[   2/1100] spade_cf_m4          hartmann6    seed=0   rows=12 (0.1m, eta 35m)
[   3/1100] spade_cf_m8          hartmann6    seed=0   rows=12 (0.1m, eta 34m)
[   4/1100] spade_plate1_only    hartmann6    seed=0   rows=12 (0.1m, eta 33m)
[   5/1100] spade_random_plate2  hartmann6    seed=0   rows=12 (0.2m, eta 33m)
[   6/1100] sobol                hartmann6    seed=0   rows=12 (0.2m, eta 33m)
[   7/1100] lhs                  hartmann6    seed=0   rows=12 (0.2m, eta 32m)
[   8/1100] random               hartmann6    seed=0   rows=12 (0.2m, eta 31m)
[   9/1100] qlognei              hartmann6    seed=0   rows=12 (0.5m, eta 55m)
[  10/1100] qlogei               hartmann6    seed=0   rows=12 (0.6m, eta 63m)
[  11/1100] doe                  hartmann6    seed=0   rows=12 (0.6m, eta 60m)
[  12/1100] spade_cf_m0          hartmann6    seed=1   rows=12 (0.6m, eta 58m)
[  13/1100] spade_cf_m4          hartmann6    seed=1   rows=12 (0.7m, eta 56m)
[  14/1100] spade_cf_m8          hartmann6    seed=1   rows=12 (0.7m, eta 54m)
[  15/1100] spade_plate1_only    hartmann6    seed=1   rows=12 (0.7m, eta 52m)
[  16/1100] spade_random_plate2  hartmann6    seed=1   rows=12 (0.7m, eta 51m)
[  17/1100] sobol                hartmann6    seed=1   rows=12 (0.8m, eta 49m)
[  18/1100] lhs                  hartmann6    seed=1   rows=12 (0.8m, eta 48m)
[  19/1100] random               hartmann6    seed=1   rows=12 (0.8m, eta 47m)
[  20/1100] qlognei              hartmann6    seed=1   rows=12 (1.0m, eta 54m)
[  21/1100] qlogei               hartmann6    seed=1   rows=12 (1.1m, eta 57m)
[  22/1100] doe                  hartmann6    seed=1   rows=12 (1.1m, eta 55m)
[  23/1100] spade_cf_m0          hartmann6    seed=2   rows=12 (1.2m, eta 55m)
[  24/1100] spade_cf_m4          hartmann6    seed=2   rows=12 (1.2m, eta 54m)
[  25/1100] spade_cf_m8          hartmann6    seed=2   rows=12 (1.2m, eta 53m)
[  26/1100] spade_plate1_only    hartmann6    seed=2   rows=12 (1.3m, eta 52m)
[  27/1100] spade_random_plate2  hartmann6    seed=2   rows=12 (1.3m, eta 51m)
[  28/1100] sobol                hartmann6    seed=2   rows=12 (1.3m, eta 50m)
[  29/1100] lhs                  hartmann6    seed=2   rows=12 (1.3m, eta 49m)
[  30/1100] random               hartmann6    seed=2   rows=12 (1.4m, eta 49m)
[  31/1100] qlognei              hartmann6    seed=2   rows=12 (1.5m, eta 53m)
[  32/1100] qlogei               hartmann6    seed=2   rows=12 (1.6m, eta 55m)
[  33/1100] doe                  hartmann6    seed=2   rows=12 (1.7m, eta 54m)
[  34/1100] spade_cf_m0          hartmann6    seed=3   rows=12 (1.7m, eta 53m)
[  35/1100] spade_cf_m4          hartmann6    seed=3   rows=12 (1.7m, eta 53m)
[  36/1100] spade_cf_m8          hartmann6    seed=3   rows=12 (1.8m, eta 52m)
[  37/1100] spade_plate1_only    hartmann6    seed=3   rows=12 (1.8m, eta 51m)
[  38/1100] spade_random_plate2  hartmann6    seed=3   rows=12 (1.8m, eta 51m)
[  39/1100] sobol                hartmann6    seed=3   rows=12 (1.8m, eta 50m)
[  40/1100] lhs                  hartmann6    seed=3   rows=12 (1.9m, eta 50m)
[  41/1100] random               hartmann6    seed=3   rows=12 (1.9m, eta 49m)
[  42/1100] qlognei              hartmann6    seed=3   rows=12 (2.1m, eta 52m)
[  43/1100] qlogei               hartmann6    seed=3   rows=12 (2.2m, eta 53m)
[  44/1100] doe                  hartmann6    seed=3   rows=12 (2.2m, eta 53m)
[  45/1100] spade_cf_m0          hartmann6    seed=4   rows=12 (2.2m, eta 52m)
[  46/1100] spade_cf_m4          hartmann6    seed=4   rows=12 (2.3m, eta 52m)
[  47/1100] spade_cf_m8          hartmann6    seed=4   rows=12 (2.3m, eta 52m)
[  48/1100] spade_plate1_only    hartmann6    seed=4   rows=12 (2.3m, eta 51m)
[  49/1100] spade_random_plate2  hartmann6    seed=4   rows=12 (2.4m, eta 51m)
[  50/1100] sobol                hartmann6    seed=4   rows=12 (2.4m, eta 50m)
[  51/1100] lhs                  hartmann6    seed=4   rows=12 (2.4m, eta 50m)
[  52/1100] random               hartmann6    seed=4   rows=12 (2.4m, eta 49m)
[  53/1100] qlognei              hartmann6    seed=4   rows=12 (2.6m, eta 51m)
[  54/1100] qlogei               hartmann6    seed=4   rows=12 (2.7m, eta 52m)
[  55/1100] doe                  hartmann6    seed=4   rows=12 (2.7m, eta 52m)
[  56/1100] spade_cf_m0          hartmann6    seed=5   rows=12 (2.8m, eta 51m)
[  57/1100] spade_cf_m4          hartmann6    seed=5   rows=12 (2.8m, eta 51m)
[  58/1100] spade_cf_m8          hartmann6    seed=5   rows=12 (2.8m, eta 51m)
[  59/1100] spade_plate1_only    hartmann6    seed=5   rows=12 (2.9m, eta 50m)
[  60/1100] spade_random_plate2  hartmann6    seed=5   rows=12 (2.9m, eta 50m)
[  61/1100] sobol                hartmann6    seed=5   rows=12 (2.9m, eta 49m)
[  62/1100] lhs                  hartmann6    seed=5   rows=12 (2.9m, eta 49m)
[  63/1100] random               hartmann6    seed=5   rows=12 (3.0m, eta 49m)
[  64/1100] qlognei              hartmann6    seed=5   rows=12 (3.2m, eta 52m)
[  65/1100] qlogei               hartmann6    seed=5   rows=12 (3.3m, eta 53m)
[  66/1100] doe                  hartmann6    seed=5   rows=12 (3.3m, eta 52m)
[  67/1100] spade_cf_m0          hartmann6    seed=6   rows=12 (3.4m, eta 52m)
[  68/1100] spade_cf_m4          hartmann6    seed=6   rows=12 (3.4m, eta 52m)
[  69/1100] spade_cf_m8          hartmann6    seed=6   rows=12 (3.4m, eta 51m)
[  70/1100] spade_plate1_only    hartmann6    seed=6   rows=12 (3.5m, eta 51m)
