spade-final-2026-08-23 · S1 · ackley d=6 sigma=0.25 · tier=secondary
1 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'EXCEPTION', 0.25: 'EXCEPTION'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[   1/100] doe_unscreened       ackley       seed=0   rows=12 (0.1m, eta 10m)
[   2/100] doe_unscreened       ackley       seed=1   rows=12 (0.2m, eta 11m)
[   3/100] doe_unscreened       ackley       seed=2   rows=12 (0.4m, eta 12m)
[   4/100] doe_unscreened       ackley       seed=3   rows=12 (0.5m, eta 11m)
[   5/100] doe_unscreened       ackley       seed=4   rows=12 (0.6m, eta 11m)
[   6/100] doe_unscreened       ackley       seed=5   rows=12 (0.7m, eta 11m)
[   7/100] doe_unscreened       ackley       seed=6   rows=12 (0.8m, eta 11m)
[   8/100] doe_unscreened       ackley       seed=7   rows=12 (0.9m, eta 11m)
[   9/100] doe_unscreened       ackley       seed=8   rows=12 (1.1m, eta 11m)
[  10/100] doe_unscreened       ackley       seed=9   rows=12 (1.2m, eta 11m)
[  11/100] doe_unscreened       ackley       seed=10  rows=12 (1.3m, eta 10m)
[  12/100] doe_unscreened       ackley       seed=11  rows=12 (1.4m, eta 10m)
[  13/100] doe_unscreened       ackley       seed=12  rows=12 (1.5m, eta 10m)
[  14/100] doe_unscreened       ackley       seed=13  rows=12 (1.6m, eta 10m)
[  15/100] doe_unscreened       ackley       seed=14  rows=12 (1.7m, eta 10m)
[  16/100] doe_unscreened       ackley       seed=15  rows=12 (1.9m, eta 10m)
[  17/100] doe_unscreened       ackley       seed=16  rows=12 (2.0m, eta 10m)
[  18/100] doe_unscreened       ackley       seed=17  rows=12 (2.1m, eta 10m)
[  19/100] doe_unscreened       ackley       seed=18  rows=12 (2.2m, eta 10m)
[  20/100] doe_unscreened       ackley       seed=19  rows=12 (2.3m, eta 9m)
[  21/100] doe_unscreened       ackley       seed=20  rows=12 (2.4m, eta 9m)
[  22/100] doe_unscreened       ackley       seed=21  rows=12 (2.5m, eta 9m)
[  23/100] doe_unscreened       ackley       seed=22  rows=12 (2.7m, eta 9m)
[  24/100] doe_unscreened       ackley       seed=23  rows=12 (2.8m, eta 9m)
[  25/100] doe_unscreened       ackley       seed=24  rows=12 (2.9m, eta 9m)
[  26/100] doe_unscreened       ackley       seed=25  rows=12 (3.0m, eta 9m)
[  27/100] doe_unscreened       ackley       seed=26  rows=12 (3.1m, eta 8m)
[  28/100] doe_unscreened       ackley       seed=27  rows=12 (3.2m, eta 8m)
[  29/100] doe_unscreened       ackley       seed=28  rows=12 (3.3m, eta 8m)
[  30/100] doe_unscreened       ackley       seed=29  rows=12 (3.4m, eta 8m)
[  31/100] doe_unscreened       ackley       seed=30  rows=12 (3.5m, eta 8m)
[  32/100] doe_unscreened       ackley       seed=31  rows=12 (3.6m, eta 8m)
[  33/100] doe_unscreened       ackley       seed=32  rows=12 (3.7m, eta 8m)
[  34/100] doe_unscreened       ackley       seed=33  rows=12 (3.8m, eta 7m)
[  35/100] doe_unscreened       ackley       seed=34  rows=12 (4.0m, eta 7m)
[  36/100] doe_unscreened       ackley       seed=35  rows=12 (4.1m, eta 7m)
[  37/100] doe_unscreened       ackley       seed=36  rows=12 (4.2m, eta 7m)
[  38/100] doe_unscreened       ackley       seed=37  rows=12 (4.3m, eta 7m)
[  39/100] doe_unscreened       ackley       seed=38  rows=12 (4.4m, eta 7m)
[  40/100] doe_unscreened       ackley       seed=39  rows=12 (4.5m, eta 7m)
[  41/100] doe_unscreened       ackley       seed=40  rows=12 (4.6m, eta 7m)
[  42/100] doe_unscreened       ackley       seed=41  rows=12 (4.7m, eta 7m)
[  43/100] doe_unscreened       ackley       seed=42  rows=12 (4.8m, eta 6m)
[  44/100] doe_unscreened       ackley       seed=43  rows=12 (5.0m, eta 6m)
[  45/100] doe_unscreened       ackley       seed=44  rows=12 (5.1m, eta 6m)
[  46/100] doe_unscreened       ackley       seed=45  rows=12 (5.2m, eta 6m)
[  47/100] doe_unscreened       ackley       seed=46  rows=12 (5.4m, eta 6m)
[  48/100] doe_unscreened       ackley       seed=47  rows=12 (5.5m, eta 6m)
[  49/100] doe_unscreened       ackley       seed=48  rows=12 (5.6m, eta 6m)
[  50/100] doe_unscreened       ackley       seed=49  rows=12 (5.7m, eta 6m)
[  51/100] doe_unscreened       ackley       seed=50  rows=12 (5.8m, eta 6m)
[  52/100] doe_unscreened       ackley       seed=51  rows=12 (6.0m, eta 6m)
[  53/100] doe_unscreened       ackley       seed=52  rows=12 (6.1m, eta 5m)
[  54/100] doe_unscreened       ackley       seed=53  rows=12 (6.3m, eta 5m)
[  55/100] doe_unscreened       ackley       seed=54  rows=12 (6.4m, eta 5m)
[  56/100] doe_unscreened       ackley       seed=55  rows=12 (6.5m, eta 5m)
[  57/100] doe_unscreened       ackley       seed=56  rows=12 (6.6m, eta 5m)
[  58/100] doe_unscreened       ackley       seed=57  rows=12 (6.8m, eta 5m)
[  59/100] doe_unscreened       ackley       seed=58  rows=12 (6.9m, eta 5m)
[  60/100] doe_unscreened       ackley       seed=59  rows=12 (7.0m, eta 5m)
[  61/100] doe_unscreened       ackley       seed=60  rows=12 (7.1m, eta 5m)
[  62/100] doe_unscreened       ackley       seed=61  rows=12 (7.2m, eta 4m)
[  63/100] doe_unscreened       ackley       seed=62  rows=12 (7.3m, eta 4m)
[  64/100] doe_unscreened       ackley       seed=63  rows=12 (7.5m, eta 4m)
[  65/100] doe_unscreened       ackley       seed=64  rows=12 (7.6m, eta 4m)
[  66/100] doe_unscreened       ackley       seed=65  rows=12 (7.7m, eta 4m)
[  67/100] doe_unscreened       ackley       seed=66  rows=12 (7.8m, eta 4m)
[  68/100] doe_unscreened       ackley       seed=67  rows=12 (7.9m, eta 4m)
[  69/100] doe_unscreened       ackley       seed=68  rows=12 (8.0m, eta 4m)
[  70/100] doe_unscreened       ackley       seed=69  rows=12 (8.2m, eta 3m)
[  71/100] doe_unscreened       ackley       seed=70  rows=12 (8.3m, eta 3m)
[  72/100] doe_unscreened       ackley       seed=71  rows=12 (8.4m, eta 3m)
[  73/100] doe_unscreened       ackley       seed=72  rows=12 (8.5m, eta 3m)
