spade-final-2026-08-23 · S2 · levy d=6 sigma=0.25 · tier=secondary
1 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[   1/100] doe_unscreened       levy         seed=0   rows=12 (0.1m, eta 9m)
[   2/100] doe_unscreened       levy         seed=1   rows=12 (0.2m, eta 8m)
[   3/100] doe_unscreened       levy         seed=2   rows=12 (0.2m, eta 7m)
[   4/100] doe_unscreened       levy         seed=3   rows=12 (0.3m, eta 7m)
[   5/100] doe_unscreened       levy         seed=4   rows=12 (0.3m, eta 7m)
[   6/100] doe_unscreened       levy         seed=5   rows=12 (0.4m, eta 6m)
[   7/100] doe_unscreened       levy         seed=6   rows=12 (0.4m, eta 6m)
[   8/100] doe_unscreened       levy         seed=7   rows=12 (0.5m, eta 6m)
[   9/100] doe_unscreened       levy         seed=8   rows=12 (0.6m, eta 6m)
[  10/100] doe_unscreened       levy         seed=9   rows=12 (0.6m, eta 6m)
[  11/100] doe_unscreened       levy         seed=10  rows=12 (0.7m, eta 6m)
[  12/100] doe_unscreened       levy         seed=11  rows=12 (0.8m, eta 6m)
[  13/100] doe_unscreened       levy         seed=12  rows=12 (0.8m, eta 5m)
[  14/100] doe_unscreened       levy         seed=13  rows=12 (0.9m, eta 5m)
[  15/100] doe_unscreened       levy         seed=14  rows=12 (0.9m, eta 5m)
[  16/100] doe_unscreened       levy         seed=15  rows=12 (1.0m, eta 5m)
[  17/100] doe_unscreened       levy         seed=16  rows=12 (1.1m, eta 5m)
[  18/100] doe_unscreened       levy         seed=17  rows=12 (1.1m, eta 5m)
[  19/100] doe_unscreened       levy         seed=18  rows=12 (1.2m, eta 5m)
[  20/100] doe_unscreened       levy         seed=19  rows=12 (1.3m, eta 5m)
[  21/100] doe_unscreened       levy         seed=20  rows=12 (1.3m, eta 5m)
[  22/100] doe_unscreened       levy         seed=21  rows=12 (1.4m, eta 5m)
[  23/100] doe_unscreened       levy         seed=22  rows=12 (1.5m, eta 5m)
[  24/100] doe_unscreened       levy         seed=23  rows=12 (1.5m, eta 5m)
[  25/100] doe_unscreened       levy         seed=24  rows=12 (1.6m, eta 5m)
[  26/100] doe_unscreened       levy         seed=25  rows=12 (1.7m, eta 5m)
[  27/100] doe_unscreened       levy         seed=26  rows=12 (1.7m, eta 5m)
[  28/100] doe_unscreened       levy         seed=27  rows=12 (1.8m, eta 5m)
[  29/100] doe_unscreened       levy         seed=28  rows=12 (1.8m, eta 4m)
[  30/100] doe_unscreened       levy         seed=29  rows=12 (1.9m, eta 4m)
[  31/100] doe_unscreened       levy         seed=30  rows=12 (2.0m, eta 4m)
[  32/100] doe_unscreened       levy         seed=31  rows=12 (2.1m, eta 4m)
[  33/100] doe_unscreened       levy         seed=32  rows=12 (2.1m, eta 4m)
[  34/100] doe_unscreened       levy         seed=33  rows=12 (2.2m, eta 4m)
[  35/100] doe_unscreened       levy         seed=34  rows=12 (2.3m, eta 4m)
[  36/100] doe_unscreened       levy         seed=35  rows=12 (2.4m, eta 4m)
[  37/100] doe_unscreened       levy         seed=36  rows=12 (2.4m, eta 4m)
[  38/100] doe_unscreened       levy         seed=37  rows=12 (2.5m, eta 4m)
[  39/100] doe_unscreened       levy         seed=38  rows=12 (2.6m, eta 4m)
[  40/100] doe_unscreened       levy         seed=39  rows=12 (2.6m, eta 4m)
[  41/100] doe_unscreened       levy         seed=40  rows=12 (2.7m, eta 4m)
[  42/100] doe_unscreened       levy         seed=41  rows=12 (2.8m, eta 4m)
[  43/100] doe_unscreened       levy         seed=42  rows=12 (2.8m, eta 4m)
[  44/100] doe_unscreened       levy         seed=43  rows=12 (2.9m, eta 4m)
[  45/100] doe_unscreened       levy         seed=44  rows=12 (3.0m, eta 4m)
[  46/100] doe_unscreened       levy         seed=45  rows=12 (3.0m, eta 4m)
[  47/100] doe_unscreened       levy         seed=46  rows=12 (3.1m, eta 4m)
[  48/100] doe_unscreened       levy         seed=47  rows=12 (3.2m, eta 3m)
[  49/100] doe_unscreened       levy         seed=48  rows=12 (3.2m, eta 3m)
[  50/100] doe_unscreened       levy         seed=49  rows=12 (3.3m, eta 3m)
[  51/100] doe_unscreened       levy         seed=50  rows=12 (3.4m, eta 3m)
[  52/100] doe_unscreened       levy         seed=51  rows=12 (3.4m, eta 3m)
[  53/100] doe_unscreened       levy         seed=52  rows=12 (3.5m, eta 3m)
[  54/100] doe_unscreened       levy         seed=53  rows=12 (3.6m, eta 3m)
[  55/100] doe_unscreened       levy         seed=54  rows=12 (3.6m, eta 3m)
[  56/100] doe_unscreened       levy         seed=55  rows=12 (3.7m, eta 3m)
[  57/100] doe_unscreened       levy         seed=56  rows=12 (3.8m, eta 3m)
[  58/100] doe_unscreened       levy         seed=57  rows=12 (3.8m, eta 3m)
[  59/100] doe_unscreened       levy         seed=58  rows=12 (3.9m, eta 3m)
[  60/100] doe_unscreened       levy         seed=59  rows=12 (3.9m, eta 3m)
[  61/100] doe_unscreened       levy         seed=60  rows=12 (4.0m, eta 3m)
[  62/100] doe_unscreened       levy         seed=61  rows=12 (4.1m, eta 3m)
[  63/100] doe_unscreened       levy         seed=62  rows=12 (4.1m, eta 2m)
[  64/100] doe_unscreened       levy         seed=63  rows=12 (4.2m, eta 2m)
[  65/100] doe_unscreened       levy         seed=64  rows=12 (4.3m, eta 2m)
[  66/100] doe_unscreened       levy         seed=65  rows=12 (4.3m, eta 2m)
[  67/100] doe_unscreened       levy         seed=66  rows=12 (4.4m, eta 2m)
[  68/100] doe_unscreened       levy         seed=67  rows=12 (4.5m, eta 2m)
[  69/100] doe_unscreened       levy         seed=68  rows=12 (4.6m, eta 2m)
[  70/100] doe_unscreened       levy         seed=69  rows=12 (4.6m, eta 2m)
[  71/100] doe_unscreened       levy         seed=70  rows=12 (4.7m, eta 2m)
[  72/100] doe_unscreened       levy         seed=71  rows=12 (4.8m, eta 2m)
[  73/100] doe_unscreened       levy         seed=72  rows=12 (4.8m, eta 2m)
[  74/100] doe_unscreened       levy         seed=73  rows=12 (4.9m, eta 2m)
[  75/100] doe_unscreened       levy         seed=74  rows=12 (5.0m, eta 2m)
