spade-final-2026-08-23 · S2 · levy d=6 sigma=0.25 · tier=secondary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[   1/1100] spade_cf_m0          levy         seed=0   rows=12 (0.0m, eta 47m)
[   2/1100] spade_cf_m4          levy         seed=0   rows=12 (0.1m, eta 43m)
[   3/1100] spade_cf_m8          levy         seed=0   rows=12 (0.1m, eta 40m)
[   4/1100] spade_plate1_only    levy         seed=0   rows=12 (0.1m, eta 37m)
[   5/1100] spade_random_plate2  levy         seed=0   rows=12 (0.2m, eta 36m)
[   6/1100] sobol                levy         seed=0   rows=12 (0.2m, eta 36m)
[   7/1100] lhs                  levy         seed=0   rows=12 (0.2m, eta 34m)
[   8/1100] random               levy         seed=0   rows=12 (0.3m, eta 35m)
[   9/1100] qlognei              levy         seed=0   rows=12 (0.4m, eta 44m)
[  10/1100] qlogei               levy         seed=0   rows=12 (0.5m, eta 53m)
[  11/1100] doe                  levy         seed=0   rows=12 (0.5m, eta 52m)
[  12/1100] spade_cf_m0          levy         seed=1   rows=12 (0.6m, eta 50m)
[  13/1100] spade_cf_m4          levy         seed=1   rows=12 (0.6m, eta 49m)
[  14/1100] spade_cf_m8          levy         seed=1   rows=12 (0.6m, eta 48m)
[  15/1100] spade_plate1_only    levy         seed=1   rows=12 (0.7m, eta 47m)
[  16/1100] spade_random_plate2  levy         seed=1   rows=12 (0.7m, eta 46m)
[  17/1100] sobol                levy         seed=1   rows=12 (0.7m, eta 45m)
[  18/1100] lhs                  levy         seed=1   rows=12 (0.7m, eta 44m)
[  19/1100] random               levy         seed=1   rows=12 (0.8m, eta 44m)
[  20/1100] qlognei              levy         seed=1   rows=12 (0.9m, eta 47m)
[  21/1100] qlogei               levy         seed=1   rows=12 (1.0m, eta 50m)
[  22/1100] doe                  levy         seed=1   rows=12 (1.0m, eta 49m)
[  23/1100] spade_cf_m0          levy         seed=2   rows=12 (1.0m, eta 49m)
[  24/1100] spade_cf_m4          levy         seed=2   rows=12 (1.1m, eta 48m)
[  25/1100] spade_cf_m8          levy         seed=2   rows=12 (1.1m, eta 48m)
[  26/1100] spade_plate1_only    levy         seed=2   rows=12 (1.1m, eta 47m)
[  27/1100] spade_random_plate2  levy         seed=2   rows=12 (1.2m, eta 47m)
[  28/1100] sobol                levy         seed=2   rows=12 (1.2m, eta 46m)
[  29/1100] lhs                  levy         seed=2   rows=12 (1.2m, eta 46m)
[  30/1100] random               levy         seed=2   rows=12 (1.3m, eta 46m)
[  31/1100] qlognei              levy         seed=2   rows=12 (1.4m, eta 48m)
[  32/1100] qlogei               levy         seed=2   rows=12 (1.5m, eta 50m)
[  33/1100] doe                  levy         seed=2   rows=12 (1.5m, eta 49m)
[  34/1100] spade_cf_m0          levy         seed=3   rows=12 (1.6m, eta 49m)
[  35/1100] spade_cf_m4          levy         seed=3   rows=12 (1.6m, eta 48m)
[  36/1100] spade_cf_m8          levy         seed=3   rows=12 (1.6m, eta 48m)
[  37/1100] spade_plate1_only    levy         seed=3   rows=12 (1.7m, eta 48m)
[  38/1100] spade_random_plate2  levy         seed=3   rows=12 (1.7m, eta 47m)
[  39/1100] sobol                levy         seed=3   rows=12 (1.7m, eta 47m)
[  40/1100] lhs                  levy         seed=3   rows=12 (1.8m, eta 47m)
[  41/1100] random               levy         seed=3   rows=12 (1.8m, eta 46m)
[  42/1100] qlognei              levy         seed=3   rows=12 (2.0m, eta 50m)
[  43/1100] qlogei               levy         seed=3   rows=12 (2.1m, eta 51m)
[  44/1100] doe                  levy         seed=3   rows=12 (2.1m, eta 51m)
[  45/1100] spade_cf_m0          levy         seed=4   rows=12 (2.2m, eta 51m)
[  46/1100] spade_cf_m4          levy         seed=4   rows=12 (2.2m, eta 51m)
[  47/1100] spade_cf_m8          levy         seed=4   rows=12 (2.2m, eta 50m)
[  48/1100] spade_plate1_only    levy         seed=4   rows=12 (2.3m, eta 50m)
[  49/1100] spade_random_plate2  levy         seed=4   rows=12 (2.3m, eta 50m)
[  50/1100] sobol                levy         seed=4   rows=12 (2.3m, eta 49m)
[  51/1100] lhs                  levy         seed=4   rows=12 (2.4m, eta 49m)
[  52/1100] random               levy         seed=4   rows=12 (2.4m, eta 49m)
[  53/1100] qlognei              levy         seed=4   rows=12 (2.5m, eta 50m)
[  54/1100] qlogei               levy         seed=4   rows=12 (2.7m, eta 52m)
[  55/1100] doe                  levy         seed=4   rows=12 (2.7m, eta 52m)
[  56/1100] spade_cf_m0          levy         seed=5   rows=12 (2.8m, eta 51m)
[  57/1100] spade_cf_m4          levy         seed=5   rows=12 (2.8m, eta 51m)
[  58/1100] spade_cf_m8          levy         seed=5   rows=12 (2.8m, eta 51m)
[  59/1100] spade_plate1_only    levy         seed=5   rows=12 (2.9m, eta 51m)
[  60/1100] spade_random_plate2  levy         seed=5   rows=12 (2.9m, eta 50m)
[  61/1100] sobol                levy         seed=5   rows=12 (2.9m, eta 50m)
[  62/1100] lhs                  levy         seed=5   rows=12 (3.0m, eta 50m)
[  63/1100] random               levy         seed=5   rows=12 (3.0m, eta 49m)
[  64/1100] qlognei              levy         seed=5   rows=12 (3.1m, eta 50m)
[  65/1100] qlogei               levy         seed=5   rows=12 (3.2m, eta 50m)
[  66/1100] doe                  levy         seed=5   rows=12 (3.2m, eta 50m)
[  67/1100] spade_cf_m0          levy         seed=6   rows=12 (3.3m, eta 50m)
[  68/1100] spade_cf_m4          levy         seed=6   rows=12 (3.3m, eta 50m)
[  69/1100] spade_cf_m8          levy         seed=6   rows=12 (3.4m, eta 50m)
[  70/1100] spade_plate1_only    levy         seed=6   rows=12 (3.4m, eta 50m)
[  71/1100] spade_random_plate2  levy         seed=6   rows=12 (3.5m, eta 50m)
[  72/1100] sobol                levy         seed=6   rows=12 (3.5m, eta 50m)
[  73/1100] lhs                  levy         seed=6   rows=12 (3.5m, eta 50m)
[  74/1100] random               levy         seed=6   rows=12 (3.6m, eta 50m)
[  75/1100] qlognei              levy         seed=6   rows=12 (3.7m, eta 51m)
[  76/1100] qlogei               levy         seed=6   rows=12 (3.9m, eta 52m)
