spade-final-2026-08-23 · S3 · rosenbrock d=6 sigma=0.25 · tier=secondary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[   1/1100] spade_cf_m0          rosenbrock   seed=0   rows=12 (0.0m, eta 52m)
[   2/1100] spade_cf_m4          rosenbrock   seed=0   rows=12 (0.1m, eta 42m)
[   3/1100] spade_cf_m8          rosenbrock   seed=0   rows=12 (0.1m, eta 39m)
[   4/1100] spade_plate1_only    rosenbrock   seed=0   rows=12 (0.1m, eta 36m)
[   5/1100] spade_random_plate2  rosenbrock   seed=0   rows=12 (0.2m, eta 35m)
[   6/1100] sobol                rosenbrock   seed=0   rows=12 (0.2m, eta 34m)
[   7/1100] lhs                  rosenbrock   seed=0   rows=12 (0.2m, eta 34m)
[   8/1100] random               rosenbrock   seed=0   rows=12 (0.2m, eta 34m)
[   9/1100] qlognei              rosenbrock   seed=0   rows=12 (0.4m, eta 43m)
[  10/1100] qlogei               rosenbrock   seed=0   rows=12 (0.5m, eta 49m)
[  11/1100] doe                  rosenbrock   seed=0   rows=12 (0.5m, eta 48m)
[  12/1100] spade_cf_m0          rosenbrock   seed=1   rows=12 (0.5m, eta 47m)
[  13/1100] spade_cf_m4          rosenbrock   seed=1   rows=12 (0.6m, eta 47m)
[  14/1100] spade_cf_m8          rosenbrock   seed=1   rows=12 (0.6m, eta 46m)
[  15/1100] spade_plate1_only    rosenbrock   seed=1   rows=12 (0.6m, eta 45m)
[  16/1100] spade_random_plate2  rosenbrock   seed=1   rows=12 (0.7m, eta 45m)
[  17/1100] sobol                rosenbrock   seed=1   rows=12 (0.7m, eta 44m)
[  18/1100] lhs                  rosenbrock   seed=1   rows=12 (0.7m, eta 43m)
[  19/1100] random               rosenbrock   seed=1   rows=12 (0.7m, eta 43m)
[  20/1100] qlognei              rosenbrock   seed=1   rows=12 (0.8m, eta 45m)
[  21/1100] qlogei               rosenbrock   seed=1   rows=12 (0.9m, eta 47m)
[  22/1100] doe                  rosenbrock   seed=1   rows=12 (0.9m, eta 47m)
[  23/1100] spade_cf_m0          rosenbrock   seed=2   rows=12 (1.0m, eta 46m)
[  24/1100] spade_cf_m4          rosenbrock   seed=2   rows=12 (1.0m, eta 46m)
[  25/1100] spade_cf_m8          rosenbrock   seed=2   rows=12 (1.1m, eta 45m)
[  26/1100] spade_plate1_only    rosenbrock   seed=2   rows=12 (1.1m, eta 45m)
[  27/1100] spade_random_plate2  rosenbrock   seed=2   rows=12 (1.1m, eta 44m)
[  28/1100] sobol                rosenbrock   seed=2   rows=12 (1.1m, eta 44m)
[  29/1100] lhs                  rosenbrock   seed=2   rows=12 (1.2m, eta 44m)
[  30/1100] random               rosenbrock   seed=2   rows=12 (1.2m, eta 44m)
[  31/1100] qlognei              rosenbrock   seed=2   rows=12 (1.3m, eta 46m)
[  32/1100] qlogei               rosenbrock   seed=2   rows=12 (1.5m, eta 48m)
[  33/1100] doe                  rosenbrock   seed=2   rows=12 (1.5m, eta 48m)
[  34/1100] spade_cf_m0          rosenbrock   seed=3   rows=12 (1.5m, eta 48m)
[  35/1100] spade_cf_m4          rosenbrock   seed=3   rows=12 (1.6m, eta 47m)
[  36/1100] spade_cf_m8          rosenbrock   seed=3   rows=12 (1.6m, eta 47m)
[  37/1100] spade_plate1_only    rosenbrock   seed=3   rows=12 (1.6m, eta 47m)
[  38/1100] spade_random_plate2  rosenbrock   seed=3   rows=12 (1.7m, eta 46m)
[  39/1100] sobol                rosenbrock   seed=3   rows=12 (1.7m, eta 46m)
[  40/1100] lhs                  rosenbrock   seed=3   rows=12 (1.7m, eta 46m)
[  41/1100] random               rosenbrock   seed=3   rows=12 (1.8m, eta 46m)
[  42/1100] qlognei              rosenbrock   seed=3   rows=12 (1.9m, eta 47m)
[  43/1100] qlogei               rosenbrock   seed=3   rows=12 (2.0m, eta 49m)
[  44/1100] doe                  rosenbrock   seed=3   rows=12 (2.0m, eta 49m)
[  45/1100] spade_cf_m0          rosenbrock   seed=4   rows=12 (2.1m, eta 49m)
[  46/1100] spade_cf_m4          rosenbrock   seed=4   rows=12 (2.1m, eta 49m)
[  47/1100] spade_cf_m8          rosenbrock   seed=4   rows=12 (2.2m, eta 48m)
[  48/1100] spade_plate1_only    rosenbrock   seed=4   rows=12 (2.2m, eta 48m)
[  49/1100] spade_random_plate2  rosenbrock   seed=4   rows=12 (2.2m, eta 48m)
[  50/1100] sobol                rosenbrock   seed=4   rows=12 (2.3m, eta 47m)
[  51/1100] lhs                  rosenbrock   seed=4   rows=12 (2.3m, eta 47m)
[  52/1100] random               rosenbrock   seed=4   rows=12 (2.3m, eta 47m)
[  53/1100] qlognei              rosenbrock   seed=4   rows=12 (2.4m, eta 48m)
[  54/1100] qlogei               rosenbrock   seed=4   rows=12 (2.5m, eta 48m)
[  55/1100] doe                  rosenbrock   seed=4   rows=12 (2.5m, eta 48m)
[  56/1100] spade_cf_m0          rosenbrock   seed=5   rows=12 (2.6m, eta 48m)
[  57/1100] spade_cf_m4          rosenbrock   seed=5   rows=12 (2.6m, eta 47m)
[  58/1100] spade_cf_m8          rosenbrock   seed=5   rows=12 (2.6m, eta 47m)
[  59/1100] spade_plate1_only    rosenbrock   seed=5   rows=12 (2.6m, eta 47m)
[  60/1100] spade_random_plate2  rosenbrock   seed=5   rows=12 (2.7m, eta 46m)
[  61/1100] sobol                rosenbrock   seed=5   rows=12 (2.7m, eta 46m)
[  62/1100] lhs                  rosenbrock   seed=5   rows=12 (2.7m, eta 46m)
[  63/1100] random               rosenbrock   seed=5   rows=12 (2.8m, eta 45m)
[  64/1100] qlognei              rosenbrock   seed=5   rows=12 (2.9m, eta 46m)
[  65/1100] qlogei               rosenbrock   seed=5   rows=12 (2.9m, eta 47m)
[  66/1100] doe                  rosenbrock   seed=5   rows=12 (3.0m, eta 47m)
[  67/1100] spade_cf_m0          rosenbrock   seed=6   rows=12 (3.0m, eta 47m)
[  68/1100] spade_cf_m4          rosenbrock   seed=6   rows=12 (3.1m, eta 47m)
[  69/1100] spade_cf_m8          rosenbrock   seed=6   rows=12 (3.1m, eta 47m)
