spade-kf3-followup-2026-08-24 · C3 · spade_cf_diverse_batch · 100 campaigns
warning: working tree dirty; code_commit is not a faithful fingerprint
[   1/100] hartmann6 seed=0 (0.1m, eta 8m)
[   2/100] hartmann6 seed=1 (0.2m, eta 10m)
[   3/100] hartmann6 seed=2 (0.3m, eta 11m)
[   4/100] hartmann6 seed=3 (0.4m, eta 10m)
[   5/100] hartmann6 seed=4 (0.5m, eta 10m)
[   6/100] hartmann6 seed=5 (0.7m, eta 11m)
[   7/100] hartmann6 seed=6 (0.9m, eta 12m)
[   8/100] hartmann6 seed=7 (1.0m, eta 11m)
[   9/100] hartmann6 seed=8 (1.1m, eta 11m)
[  10/100] hartmann6 seed=9 (1.1m, eta 10m)
[  11/100] hartmann6 seed=10 (1.2m, eta 10m)
[  12/100] hartmann6 seed=11 (1.3m, eta 9m)
[  13/100] hartmann6 seed=12 (1.4m, eta 9m)
[  14/100] hartmann6 seed=13 (1.5m, eta 9m)
[  15/100] hartmann6 seed=14 (1.6m, eta 9m)
[  16/100] hartmann6 seed=15 (1.8m, eta 9m)
[  17/100] hartmann6 seed=16 (1.8m, eta 9m)
[  18/100] hartmann6 seed=17 (1.9m, eta 9m)
[  19/100] hartmann6 seed=18 (2.1m, eta 9m)
[  20/100] hartmann6 seed=19 (2.2m, eta 9m)
[  21/100] hartmann6 seed=20 (2.3m, eta 9m)
[  22/100] hartmann6 seed=21 (2.4m, eta 9m)
[  23/100] hartmann6 seed=22 (2.5m, eta 8m)
[  24/100] hartmann6 seed=23 (2.5m, eta 8m)
[  25/100] hartmann6 seed=24 (2.8m, eta 8m)
[  26/100] hartmann6 seed=25 (2.9m, eta 8m)
[  27/100] hartmann6 seed=26 (3.0m, eta 8m)
[  28/100] hartmann6 seed=27 (3.1m, eta 8m)
[  29/100] hartmann6 seed=28 (3.5m, eta 9m)
[  30/100] hartmann6 seed=29 (3.8m, eta 9m)
[  31/100] hartmann6 seed=30 (3.9m, eta 9m)
[  32/100] hartmann6 seed=31 (4.0m, eta 9m)
[  33/100] hartmann6 seed=32 (4.1m, eta 8m)
[  34/100] hartmann6 seed=33 (4.2m, eta 8m)
[  35/100] hartmann6 seed=34 (4.2m, eta 8m)
[  36/100] hartmann6 seed=35 (4.3m, eta 8m)
[  37/100] hartmann6 seed=36 (4.3m, eta 7m)
[  38/100] hartmann6 seed=37 (4.4m, eta 7m)
[  39/100] hartmann6 seed=38 (4.5m, eta 7m)
[  40/100] hartmann6 seed=39 (4.6m, eta 7m)
[  41/100] hartmann6 seed=40 (4.6m, eta 7m)
[  42/100] hartmann6 seed=41 (4.6m, eta 6m)
[  43/100] hartmann6 seed=42 (4.7m, eta 6m)
[  44/100] hartmann6 seed=43 (4.7m, eta 6m)
[  45/100] hartmann6 seed=44 (4.8m, eta 6m)
[  46/100] hartmann6 seed=45 (4.8m, eta 6m)
[  47/100] hartmann6 seed=46 (4.9m, eta 6m)
[  48/100] hartmann6 seed=47 (5.0m, eta 5m)
[  49/100] hartmann6 seed=48 (5.0m, eta 5m)
[  50/100] hartmann6 seed=49 (5.0m, eta 5m)
[  51/100] hartmann6 seed=50 (5.1m, eta 5m)
[  52/100] hartmann6 seed=51 (5.1m, eta 5m)
[  53/100] hartmann6 seed=52 (5.2m, eta 5m)
[  54/100] hartmann6 seed=53 (5.3m, eta 4m)
[  55/100] hartmann6 seed=54 (5.3m, eta 4m)
[  56/100] hartmann6 seed=55 (5.4m, eta 4m)
[  57/100] hartmann6 seed=56 (5.4m, eta 4m)
[  58/100] hartmann6 seed=57 (5.5m, eta 4m)
[  59/100] hartmann6 seed=58 (5.6m, eta 4m)
[  60/100] hartmann6 seed=59 (5.6m, eta 4m)
[  61/100] hartmann6 seed=60 (5.7m, eta 4m)
[  62/100] hartmann6 seed=61 (5.7m, eta 4m)
[  63/100] hartmann6 seed=62 (5.8m, eta 3m)
[  64/100] hartmann6 seed=63 (6.0m, eta 3m)
[  65/100] hartmann6 seed=64 (6.1m, eta 3m)
[  66/100] hartmann6 seed=65 (6.2m, eta 3m)
[  67/100] hartmann6 seed=66 (6.3m, eta 3m)
[  68/100] hartmann6 seed=67 (6.5m, eta 3m)
[  69/100] hartmann6 seed=68 (6.7m, eta 3m)
[  70/100] hartmann6 seed=69 (6.9m, eta 3m)
[  71/100] hartmann6 seed=70 (6.9m, eta 3m)
[  72/100] hartmann6 seed=71 (7.0m, eta 3m)
[  73/100] hartmann6 seed=72 (7.1m, eta 3m)
[  74/100] hartmann6 seed=73 (7.1m, eta 2m)
[  75/100] hartmann6 seed=74 (7.2m, eta 2m)
[  76/100] hartmann6 seed=75 (7.3m, eta 2m)
[  77/100] hartmann6 seed=76 (7.4m, eta 2m)
[  78/100] hartmann6 seed=77 (7.6m, eta 2m)
[  79/100] hartmann6 seed=78 (7.7m, eta 2m)
[  80/100] hartmann6 seed=79 (7.8m, eta 2m)
[  81/100] hartmann6 seed=80 (7.9m, eta 2m)
[  82/100] hartmann6 seed=81 (8.0m, eta 2m)
[  83/100] hartmann6 seed=82 (8.1m, eta 2m)
[  84/100] hartmann6 seed=83 (8.2m, eta 2m)
[  85/100] hartmann6 seed=84 (8.3m, eta 1m)
[  86/100] hartmann6 seed=85 (8.3m, eta 1m)
[  87/100] hartmann6 seed=86 (8.4m, eta 1m)
[  88/100] hartmann6 seed=87 (8.5m, eta 1m)
[  89/100] hartmann6 seed=88 (8.6m, eta 1m)
[  90/100] hartmann6 seed=89 (8.6m, eta 1m)
[  91/100] hartmann6 seed=90 (8.7m, eta 1m)
[  92/100] hartmann6 seed=91 (8.8m, eta 1m)
[  93/100] hartmann6 seed=92 (8.8m, eta 1m)
[  94/100] hartmann6 seed=93 (8.9m, eta 1m)
[  95/100] hartmann6 seed=94 (9.0m, eta 0m)
[  96/100] hartmann6 seed=95 (9.1m, eta 0m)
[  97/100] hartmann6 seed=96 (9.1m, eta 0m)
[  98/100] hartmann6 seed=97 (9.2m, eta 0m)
[  99/100] hartmann6 seed=98 (9.2m, eta 0m)
[ 100/100] hartmann6 seed=99 (9.3m, eta 0m)

wrote kf3-followup-c3-spade_cf_diverse_batch.json · 1200 rows
