=== erroraware C3 starting Mon Aug 24 16:56:24 HKT 2026 ===
spade-kf3-followup-2026-08-24 · C3 · spade_cf_erroraware · 100 campaigns
warning: working tree dirty; code_commit is not a faithful fingerprint
[   1/100] hartmann6 seed=0 (0.6m, eta 61m)
[   2/100] hartmann6 seed=1 (1.3m, eta 64m)
[   3/100] hartmann6 seed=2 (1.9m, eta 62m)
[   4/100] hartmann6 seed=3 (2.9m, eta 68m)
[   5/100] hartmann6 seed=4 (3.5m, eta 66m)
[   6/100] hartmann6 seed=5 (4.2m, eta 66m)
[   7/100] hartmann6 seed=6 (5.3m, eta 70m)
[   8/100] hartmann6 seed=7 (6.1m, eta 70m)
[   9/100] hartmann6 seed=8 (6.8m, eta 69m)
[  10/100] hartmann6 seed=9 (7.4m, eta 67m)
[  11/100] hartmann6 seed=10 (8.4m, eta 68m)
[  12/100] hartmann6 seed=11 (9.2m, eta 67m)
[  13/100] hartmann6 seed=12 (10.0m, eta 67m)
[  14/100] hartmann6 seed=13 (10.8m, eta 66m)
[  15/100] hartmann6 seed=14 (11.3m, eta 64m)
[  16/100] hartmann6 seed=15 (12.0m, eta 63m)
[  17/100] hartmann6 seed=16 (12.7m, eta 62m)
[  18/100] hartmann6 seed=17 (13.5m, eta 62m)
[  19/100] hartmann6 seed=18 (14.3m, eta 61m)
spade-kf3-followup-2026-08-24 · C3 · spade_cf_erroraware · 100 campaigns
warning: working tree dirty; code_commit is not a faithful fingerprint
[  20/100] hartmann6 seed=19 (1.7m, eta 7m)
[  21/100] hartmann6 seed=20 (3.5m, eta 13m)
[  22/100] hartmann6 seed=21 (5.5m, eta 19m)
[  23/100] hartmann6 seed=22 (6.2m, eta 21m)
[  24/100] hartmann6 seed=23 (7.0m, eta 22m)
[  25/100] hartmann6 seed=24 (8.1m, eta 24m)
[  26/100] hartmann6 seed=25 (9.3m, eta 26m)
[  27/100] hartmann6 seed=26 (10.1m, eta 27m)
[  28/100] hartmann6 seed=27 (11.1m, eta 28m)
[  29/100] hartmann6 seed=28 (12.0m, eta 29m)
[  30/100] hartmann6 seed=29 (13.0m, eta 30m)
[  31/100] hartmann6 seed=30 (14.1m, eta 31m)
[  32/100] hartmann6 seed=31 (15.1m, eta 32m)
[  33/100] hartmann6 seed=32 (16.0m, eta 32m)
[  34/100] hartmann6 seed=33 (17.3m, eta 34m)
[  35/100] hartmann6 seed=34 (18.2m, eta 34m)
[  36/100] hartmann6 seed=35 (19.3m, eta 34m)
[  37/100] hartmann6 seed=36 (20.5m, eta 35m)
[  38/100] hartmann6 seed=37 (21.6m, eta 35m)
[  39/100] hartmann6 seed=38 (22.3m, eta 35m)
[  40/100] hartmann6 seed=39 (23.3m, eta 35m)
[  41/100] hartmann6 seed=40 (24.0m, eta 35m)
[  42/100] hartmann6 seed=41 (24.6m, eta 34m)
[  43/100] hartmann6 seed=42 (25.2m, eta 33m)
[  44/100] hartmann6 seed=43 (25.8m, eta 33m)
[  45/100] hartmann6 seed=44 (26.3m, eta 32m)
[  46/100] hartmann6 seed=45 (27.2m, eta 32m)
[  47/100] hartmann6 seed=46 (28.2m, eta 32m)
[  48/100] hartmann6 seed=47 (29.0m, eta 31m)
[  49/100] hartmann6 seed=48 (29.8m, eta 31m)
[  50/100] hartmann6 seed=49 (31.1m, eta 31m)
[  51/100] hartmann6 seed=50 (31.6m, eta 30m)
[  52/100] hartmann6 seed=51 (32.1m, eta 30m)
[  53/100] hartmann6 seed=52 (32.8m, eta 29m)
[  54/100] hartmann6 seed=53 (33.6m, eta 29m)
[  55/100] hartmann6 seed=54 (34.1m, eta 28m)
[  56/100] hartmann6 seed=55 (34.8m, eta 27m)
[  57/100] hartmann6 seed=56 (35.4m, eta 27m)
[  58/100] hartmann6 seed=57 (36.6m, eta 26m)
[  59/100] hartmann6 seed=58 (37.2m, eta 26m)
[  60/100] hartmann6 seed=59 (38.0m, eta 25m)
[  61/100] hartmann6 seed=60 (38.6m, eta 25m)
[  62/100] hartmann6 seed=61 (39.4m, eta 24m)
[  63/100] hartmann6 seed=62 (40.2m, eta 24m)
[  64/100] hartmann6 seed=63 (41.1m, eta 23m)
[  65/100] hartmann6 seed=64 (41.6m, eta 22m)
[  66/100] hartmann6 seed=65 (42.2m, eta 22m)
[  67/100] hartmann6 seed=66 (42.7m, eta 21m)
[  68/100] hartmann6 seed=67 (43.4m, eta 20m)
[  69/100] hartmann6 seed=68 (44.0m, eta 20m)
[  70/100] hartmann6 seed=69 (44.9m, eta 19m)
[  71/100] hartmann6 seed=70 (45.4m, eta 19m)
[  72/100] hartmann6 seed=71 (46.4m, eta 18m)
[  73/100] hartmann6 seed=72 (47.0m, eta 17m)
[  74/100] hartmann6 seed=73 (47.5m, eta 17m)
[  75/100] hartmann6 seed=74 (48.1m, eta 16m)
[  76/100] hartmann6 seed=75 (48.5m, eta 15m)
[  77/100] hartmann6 seed=76 (49.1m, eta 15m)
[  78/100] hartmann6 seed=77 (50.0m, eta 14m)
[  79/100] hartmann6 seed=78 (51.0m, eta 14m)
[  80/100] hartmann6 seed=79 (51.4m, eta 13m)
[  81/100] hartmann6 seed=80 (52.4m, eta 12m)
[  82/100] hartmann6 seed=81 (53.0m, eta 12m)
[  83/100] hartmann6 seed=82 (54.0m, eta 11m)
