P7 · Murphy decomposition · HEAD=d70eadc7 · python=3.11.15
cell hill d=6 sigma_rel=0.25 · arms=('doe', 'qlogei', 'qlognei', 'lhs', 'sobol', 'random', 'versionb', 'versionb_random', 'versionb_predictive', 'plate1_only')
gamma=(0.5, 0.7, 0.8, 0.9, 0.95, 0.99)
tau_frac=(0.6, 0.75, 0.85, 0.95) · 10 equal-count bins
grid: 20000 Sobol at seed 0

50 (instance, seed) pairs x 10 arms = 500 campaigns

[  1/50] doe      033466197eba3ddb seed=0 regret=0.0440 rows=24 (2.5s)
[  1/50] qlogei   033466197eba3ddb seed=0 regret=0.1323 rows=24 (8.9s)
[  1/50] qlognei  033466197eba3ddb seed=0 regret=0.0750 rows=24 (13.0s)
[  1/50] lhs      033466197eba3ddb seed=0 regret=0.1993 rows=24 (1.8s)
[  1/50] sobol    033466197eba3ddb seed=0 regret=0.0740 rows=24 (1.9s)
[  1/50] random   033466197eba3ddb seed=0 regret=0.1440 rows=24 (1.9s)
[  1/50] versionb 033466197eba3ddb seed=0 regret=0.1182 rows=24 (2.5s)
[  1/50] versionb_random 033466197eba3ddb seed=0 regret=0.1182 rows=24 (1.9s)
[  1/50] versionb_predictive 033466197eba3ddb seed=0 regret=0.0551 rows=24 (2.5s)
[  1/50] plate1_only 033466197eba3ddb seed=0 regret=0.1993 rows=24 (1.9s)
[  2/50] doe      033466197eba3ddb seed=1 regret=0.1114 rows=24 (1.9s)
[  2/50] qlogei   033466197eba3ddb seed=1 regret=0.2785 rows=24 (5.4s)
[  2/50] qlognei  033466197eba3ddb seed=1 regret=0.2170 rows=24 (8.8s)
[  2/50] lhs      033466197eba3ddb seed=1 regret=0.1878 rows=24 (2.1s)
[  2/50] sobol    033466197eba3ddb seed=1 regret=0.0887 rows=24 (2.1s)
[  2/50] random   033466197eba3ddb seed=1 regret=0.2524 rows=24 (2.3s)
[  2/50] versionb 033466197eba3ddb seed=1 regret=0.1123 rows=24 (3.3s)
[  2/50] versionb_random 033466197eba3ddb seed=1 regret=0.1123 rows=24 (2.2s)
[  2/50] versionb_predictive 033466197eba3ddb seed=1 regret=0.1123 rows=24 (2.7s)
[  2/50] plate1_only 033466197eba3ddb seed=1 regret=0.1878 rows=24 (2.2s)
[  3/50] doe      0a6e0788538a7c52 seed=0 regret=0.0376 rows=24 (2.3s)
[  3/50] qlogei   0a6e0788538a7c52 seed=0 regret=0.1384 rows=24 (12.2s)
[  3/50] qlognei  0a6e0788538a7c52 seed=0 regret=0.1157 rows=24 (14.8s)
[  3/50] lhs      0a6e0788538a7c52 seed=0 regret=0.1084 rows=24 (2.2s)
[  3/50] sobol    0a6e0788538a7c52 seed=0 regret=0.2753 rows=24 (2.1s)
[  3/50] random   0a6e0788538a7c52 seed=0 regret=0.1773 rows=24 (2.2s)
[  3/50] versionb 0a6e0788538a7c52 seed=0 regret=0.0926 rows=24 (2.6s)
[  3/50] versionb_random 0a6e0788538a7c52 seed=0 regret=0.0926 rows=24 (2.2s)
[  3/50] versionb_predictive 0a6e0788538a7c52 seed=0 regret=0.0926 rows=24 (3.0s)
[  3/50] plate1_only 0a6e0788538a7c52 seed=0 regret=0.1084 rows=24 (2.3s)
[  4/50] doe      0a6e0788538a7c52 seed=1 regret=0.0789 rows=24 (2.4s)
[  4/50] qlogei   0a6e0788538a7c52 seed=1 regret=0.1299 rows=24 (12.8s)
[  4/50] qlognei  0a6e0788538a7c52 seed=1 regret=0.1176 rows=24 (9.7s)
