  ... 1/25 instances, 12 rows
  ... 1/25 instances, 12 rows
  ... 1/25 instances, 12 rows
  ... 1/25 instances, 12 rows
  ... 2/25 instances, 24 rows
  ... 2/25 instances, 24 rows
  ... 2/25 instances, 24 rows
  ... 2/25 instances, 24 rows
  ... 3/25 instances, 36 rows
  ... 3/25 instances, 36 rows
  ... 3/25 instances, 36 rows
  ... 3/25 instances, 36 rows
  ... 4/25 instances, 48 rows
  ... 4/25 instances, 48 rows
  ... 4/25 instances, 48 rows
  ... 4/25 instances, 48 rows
  ... 5/25 instances, 60 rows
  ... 5/25 instances, 60 rows
  ... 5/25 instances, 60 rows
  ... 5/25 instances, 60 rows
  ... 6/25 instances, 72 rows
  ... 6/25 instances, 72 rows
  ... 6/25 instances, 72 rows
  ... 6/25 instances, 72 rows
  ... 7/25 instances, 84 rows
  ... 7/25 instances, 84 rows
  ... 7/25 instances, 84 rows
  ... 7/25 instances, 84 rows
  ... 8/25 instances, 96 rows
  ... 8/25 instances, 96 rows
  ... 8/25 instances, 96 rows
  ... 8/25 instances, 96 rows
  ... 9/25 instances, 108 rows
  ... 9/25 instances, 108 rows
  ... 9/25 instances, 108 rows
  ... 9/25 instances, 108 rows
  ... 10/25 instances, 120 rows
  ... 10/25 instances, 120 rows
  ... 10/25 instances, 120 rows
  ... 10/25 instances, 120 rows
  ... 11/25 instances, 132 rows
  ... 11/25 instances, 132 rows
  ... 11/25 instances, 132 rows
  ... 11/25 instances, 132 rows
  ... 12/25 instances, 144 rows
  ... 12/25 instances, 144 rows
  ... 12/25 instances, 144 rows
  ... 12/25 instances, 144 rows
  ... 13/25 instances, 156 rows
  ... 13/25 instances, 156 rows
  ... 13/25 instances, 156 rows
  ... 13/25 instances, 156 rows
  ... 14/25 instances, 168 rows
  ... 14/25 instances, 168 rows
  ... 14/25 instances, 168 rows
  ... 14/25 instances, 168 rows
  ... 15/25 instances, 180 rows
  ... 15/25 instances, 180 rows
  ... 15/25 instances, 180 rows
  ... 15/25 instances, 180 rows
  ... 16/25 instances, 192 rows
  ... 16/25 instances, 192 rows
  ... 16/25 instances, 192 rows
  ... 16/25 instances, 192 rows
  ... 17/25 instances, 204 rows
  ... 17/25 instances, 204 rows
  ... 17/25 instances, 204 rows
  ... 18/25 instances, 216 rows
  ... 17/25 instances, 204 rows
  ... 18/25 instances, 216 rows
  ... 18/25 instances, 216 rows
  ... 19/25 instances, 228 rows
  ... 18/25 instances, 216 rows
  ... 19/25 instances, 228 rows
  ... 20/25 instances, 240 rows
  ... 19/25 instances, 228 rows
  ... 19/25 instances, 228 rows
  ... 20/25 instances, 240 rows
  ... 21/25 instances, 252 rows
  ... 20/25 instances, 240 rows
  ... 20/25 instances, 240 rows
  ... 21/25 instances, 252 rows
  ... 21/25 instances, 252 rows
  ... 22/25 instances, 264 rows
  ... 21/25 instances, 252 rows
  ... 22/25 instances, 264 rows
  ... 22/25 instances, 264 rows
  ... 23/25 instances, 276 rows
  ... 22/25 instances, 264 rows
  ... 23/25 instances, 276 rows
  ... 23/25 instances, 276 rows
  ... 24/25 instances, 288 rows
  ... 23/25 instances, 276 rows
  ... 24/25 instances, 288 rows
  ... 25/25 instances, 300 rows
  shard 6-0.25-10: 300 rows in 2783s
  ... 24/25 instances, 288 rows
  ... 24/25 instances, 288 rows
  ... 25/25 instances, 300 rows
  shard 6-0.25-5: 300 rows in 2829s
  ... 25/25 instances, 300 rows
  shard 6-0.25-3: 300 rows in 2903s
  ... 1/25 instances, 12 rows
  ... 25/25 instances, 300 rows
  shard 6-0.25-20: 300 rows in 2941s
  ... 1/25 instances, 12 rows
  ... 1/25 instances, 12 rows
  ... 2/25 instances, 24 rows
  ... 1/25 instances, 12 rows
  ... 2/25 instances, 24 rows
  ... 2/25 instances, 24 rows
  ... 3/25 instances, 36 rows
  ... 2/25 instances, 24 rows
  ... 3/25 instances, 36 rows
  ... 3/25 instances, 36 rows
  ... 4/25 instances, 48 rows
  ... 3/25 instances, 36 rows
  ... 4/25 instances, 48 rows
  ... 4/25 instances, 48 rows
  ... 5/25 instances, 60 rows
  ... 4/25 instances, 48 rows
  ... 5/25 instances, 60 rows
  ... 5/25 instances, 60 rows
  ... 6/25 instances, 72 rows
  ... 5/25 instances, 60 rows
  ... 6/25 instances, 72 rows
  ... 6/25 instances, 72 rows
  ... 7/25 instances, 84 rows
  ... 6/25 instances, 72 rows
  ... 7/25 instances, 84 rows
  ... 7/25 instances, 84 rows
  ... 8/25 instances, 96 rows
  ... 8/25 instances, 96 rows
  ... 7/25 instances, 84 rows
  ... 8/25 instances, 96 rows
