Version C Form 1 re-score · sigma=0.1 · ZERO NEW WELLS
12 arms x 50 keys · gate p3-k6-d6-s010.json at |delta| = 0.0 over 20 columns

building the grid neighbour graph once ...
[  1/50] 033466197eba3ddb seed=0 comps 0..38 (183.7s)
[  2/50] 033466197eba3ddb seed=1 comps 0..39 (178.1s)
[  3/50] 0a6e0788538a7c52 seed=0 comps 0..30 (190.3s)
[  4/50] 0a6e0788538a7c52 seed=1 comps 0..28 (198.0s)
[  5/50] 0ed87c75239d73f8 seed=0 comps 0..53 (198.9s)
[  6/50] 0ed87c75239d73f8 seed=1 comps 0..37 (201.3s)
[  7/50] 32bb966a18f1d863 seed=0 comps 0..33 (200.6s)
[  8/50] 32bb966a18f1d863 seed=1 comps 0..60 (202.2s)
[  9/50] 443c180247c17191 seed=0 comps 0..36 (220.8s)
[ 10/50] 443c180247c17191 seed=1 comps 0..29 (183.9s)
[ 11/50] 48b1324dd0461cd9 seed=0 comps 0..18 (198.2s)
[ 12/50] 48b1324dd0461cd9 seed=1 comps 0..29 (203.2s)
[ 13/50] 4d4f7158b65b52ba seed=0 comps 0..38 (202.8s)
[ 14/50] 4d4f7158b65b52ba seed=1 comps 0..51 (244.9s)
[ 15/50] 51cf489c521a6911 seed=0 comps 0..35 (236.8s)
[ 16/50] 51cf489c521a6911 seed=1 comps 0..52 (195.9s)
[ 17/50] 578e5d8768359f0f seed=0 comps 0..19 (216.7s)
[ 18/50] 578e5d8768359f0f seed=1 comps 0..30 (182.0s)
[ 19/50] 59e420274f4385d9 seed=0 comps 0..40 (182.0s)
[ 20/50] 59e420274f4385d9 seed=1 comps 0..28 (180.7s)
[ 21/50] 5b3926ef2c5fe4b6 seed=0 comps 0..31 (180.7s)
[ 22/50] 5b3926ef2c5fe4b6 seed=1 comps 0..41 (168.4s)
[ 23/50] 763e0f58925816ca seed=0 comps 0..44 (186.7s)
[ 24/50] 763e0f58925816ca seed=1 comps 0..41 (164.6s)
[ 25/50] 7b6071e568a98779 seed=0 comps 0..56 (193.5s)
[ 26/50] 7b6071e568a98779 seed=1 comps 0..48 (189.8s)
[ 27/50] 7ef3fc89acece49c seed=0 comps 0..34 (189.6s)
[ 28/50] 7ef3fc89acece49c seed=1 comps 0..42 (191.6s)
[ 29/50] 7f5c7431c0530e74 seed=0 comps 0..33 (180.8s)
[ 30/50] 7f5c7431c0530e74 seed=1 comps 0..35 (168.8s)
[ 31/50] 8abe35e93ddfcad1 seed=0 comps 0..52 (187.1s)
[ 32/50] 8abe35e93ddfcad1 seed=1 comps 0..44 (177.9s)
[ 33/50] 9414bc879284eef0 seed=0 comps 0..60 (195.9s)
[ 34/50] 9414bc879284eef0 seed=1 comps 0..37 (170.4s)
[ 35/50] 9f3cdb4d835c6909 seed=0 comps 0..41 (199.2s)
[ 36/50] 9f3cdb4d835c6909 seed=1 comps 0..41 (265.4s)
[ 37/50] c75f6d6f50fe2434 seed=0 comps 0..32 (219.2s)
[ 38/50] c75f6d6f50fe2434 seed=1 comps 0..37 (194.8s)
[ 39/50] ce7334da318bc5e5 seed=0 comps 0..37 (180.9s)
[ 40/50] ce7334da318bc5e5 seed=1 comps 0..33 (169.9s)
[ 41/50] da5ec2fbb20c9f9b seed=0 comps 0..48 (178.0s)
[ 42/50] da5ec2fbb20c9f9b seed=1 comps 0..30 (181.5s)
[ 43/50] e402c32907f27534 seed=0 comps 0..50 (198.6s)
[ 44/50] e402c32907f27534 seed=1 comps 0..39 (183.1s)
[ 45/50] e946207e9dfe1876 seed=0 comps 0..46 (186.1s)
[ 46/50] e946207e9dfe1876 seed=1 comps 0..39 (186.6s)
[ 47/50] ef2815cdafff288c seed=0 comps 0..24 (172.7s)
[ 48/50] ef2815cdafff288c seed=1 comps 0..26 (179.2s)
[ 49/50] f79c5cf175034acd seed=0 comps 0..46 (199.4s)
[ 50/50] f79c5cf175034acd seed=1 comps 0..50 (245.3s)

promoted versionc-form1-s010.json · 14400 rows · gate clean
