Version C Form 1 re-score · sigma=0.25 · ZERO NEW WELLS
12 arms x 50 keys · gate p2-versionb-gamma.json at |delta| = 0.0 over 20 columns

building the grid neighbour graph once ...
[  1/50] 033466197eba3ddb seed=0 comps 0..52 (146.0s)
[  2/50] 033466197eba3ddb seed=1 comps 0..17 (102.2s)
[  3/50] 0a6e0788538a7c52 seed=0 comps 0..51 (144.5s)
[  4/50] 0a6e0788538a7c52 seed=1 comps 0..35 (123.3s)
[  5/50] 0ed87c75239d73f8 seed=0 comps 0..70 (142.2s)
[  6/50] 0ed87c75239d73f8 seed=1 comps 0..47 (134.4s)
[  7/50] 32bb966a18f1d863 seed=0 comps 0..51 (132.2s)
[  8/50] 32bb966a18f1d863 seed=1 comps 0..23 (124.5s)
[  9/50] 443c180247c17191 seed=0 comps 0..32 (131.6s)
[ 10/50] 443c180247c17191 seed=1 comps 0..26 (113.2s)
[ 11/50] 48b1324dd0461cd9 seed=0 comps 0..39 (136.8s)
[ 12/50] 48b1324dd0461cd9 seed=1 comps 0..31 (134.3s)
[ 13/50] 4d4f7158b65b52ba seed=0 comps 0..41 (134.6s)
[ 14/50] 4d4f7158b65b52ba seed=1 comps 0..40 (119.1s)
[ 15/50] 51cf489c521a6911 seed=0 comps 0..31 (127.2s)
[ 16/50] 51cf489c521a6911 seed=1 comps 0..91 (110.2s)
[ 17/50] 578e5d8768359f0f seed=0 comps 0..44 (126.6s)
[ 18/50] 578e5d8768359f0f seed=1 comps 0..25 (120.1s)
[ 19/50] 59e420274f4385d9 seed=0 comps 0..39 (133.7s)
[ 20/50] 59e420274f4385d9 seed=1 comps 0..90 (129.8s)
[ 21/50] 5b3926ef2c5fe4b6 seed=0 comps 0..36 (140.5s)
[ 22/50] 5b3926ef2c5fe4b6 seed=1 comps 0..27 (118.4s)
[ 23/50] 763e0f58925816ca seed=0 comps 0..54 (133.4s)
[ 24/50] 763e0f58925816ca seed=1 comps 0..51 (126.9s)
[ 25/50] 7b6071e568a98779 seed=0 comps 0..44 (136.4s)
[ 26/50] 7b6071e568a98779 seed=1 comps 0..35 (124.3s)
[ 27/50] 7ef3fc89acece49c seed=0 comps 0..46 (141.1s)
[ 28/50] 7ef3fc89acece49c seed=1 comps 0..33 (112.4s)
[ 29/50] 7f5c7431c0530e74 seed=0 comps 0..52 (124.1s)
[ 30/50] 7f5c7431c0530e74 seed=1 comps 0..44 (104.1s)
[ 31/50] 8abe35e93ddfcad1 seed=0 comps 0..50 (138.3s)
[ 32/50] 8abe35e93ddfcad1 seed=1 comps 0..35 (121.4s)
[ 33/50] 9414bc879284eef0 seed=0 comps 0..37 (139.3s)
[ 34/50] 9414bc879284eef0 seed=1 comps 0..22 (112.8s)
[ 35/50] 9f3cdb4d835c6909 seed=0 comps 0..66 (136.5s)
[ 36/50] 9f3cdb4d835c6909 seed=1 comps 0..40 (130.2s)
[ 37/50] c75f6d6f50fe2434 seed=0 comps 0..38 (125.5s)
[ 38/50] c75f6d6f50fe2434 seed=1 comps 0..34 (124.3s)
[ 39/50] ce7334da318bc5e5 seed=0 comps 0..65 (136.9s)
[ 40/50] ce7334da318bc5e5 seed=1 comps 0..20 (122.5s)
[ 41/50] da5ec2fbb20c9f9b seed=0 comps 0..41 (143.1s)
[ 42/50] da5ec2fbb20c9f9b seed=1 comps 0..41 (125.1s)
[ 43/50] e402c32907f27534 seed=0 comps 0..33 (135.9s)
[ 44/50] e402c32907f27534 seed=1 comps 0..29 (105.5s)
[ 45/50] e946207e9dfe1876 seed=0 comps 0..40 (133.2s)
[ 46/50] e946207e9dfe1876 seed=1 comps 0..31 (104.1s)
[ 47/50] ef2815cdafff288c seed=0 comps 0..34 (119.3s)
[ 48/50] ef2815cdafff288c seed=1 comps 0..32 (109.9s)
[ 49/50] f79c5cf175034acd seed=0 comps 0..43 (131.9s)
[ 50/50] f79c5cf175034acd seed=1 comps 0..38 (126.8s)

promoted versionc-form1-s025.json · 14400 rows · gate clean
