condition_id,factor_code,collagen_i_ugml,collagen_iv_ugml,ln111_ugml,ln411_ugml,ln511_ugml,fn_ugml,cd31_area_dapi_norm_fn_mean,cd31_area_dapi_norm_fn_variance,n_detected_replicates,raw_extracted_values
stage1_01,- - - - - -,0,0,0,0,0,22,0.966,0.0943,5,0.588;0.752;0.966;1.18;1.344
stage1_02,- - - - + +,0,0,0,0,0.8,75,0.526,0.0824,4,0.111;0.563;0.682;0.748
stage1_03,- - - + - +,0,0,0,0.8,0,75,1.665,1.7328,5,0.263;0.863;1.344;2.208;3.646
stage1_04,- - - + + -,0,0,0,0.8,0.8,22,1.001,0.104,2,0.773;1.229
stage1_05,- - + - - +,0,0,15.8,0,0,75,0.723,0.1518,4,0.312;0.633;0.695;1.25
stage1_06,- - + + - -,0,0,15.8,0.8,0,22,1.41,0.4545,4,0.736;1.114;1.476;2.314
stage1_07,- - + + + +,0,0,15.8,0.8,0.8,75,0.961,0.4409,4,0.107;0.88;1.155;1.702
stage1_08,- + - - - +,0,56,0,0,0,75,1.155,0.6892,5,0.169;0.399;1.369;1.879;1.957
stage1_09,- + - + - -,0,56,0,0.8,0,22,1.098,0.1832,3,0.629;1.196;1.468
stage1_10,- + - + + +,0,56,0,0.8,0.8,75,0.542,0.2264,4,0.066;0.251;0.732;1.118
stage1_11,- + + - + -,0,56,15.8,0,0.8,22,0.651,0.167,4,0.152;0.522;0.83;1.102
stage1_12,- + + + - +,0,56,15.8,0.8,0,75,0.727,0.2914,5,0.156;0.304;0.637;1.085;1.451
stage1_13,0 0 0 0 0 0,17.75,28.0,7.9,0.4,0.4,48.5,0.626,0.0584,3,0.399;0.6;0.88
stage1_14,+ - - - - +,35.5,0,0,0,0,75,1.213,0.3938,5,0.534;0.678;1.147;1.825;1.883
stage1_15,+ - - + - -,35.5,0,0,0.8,0,22,0.929,0.0605,3,0.748;0.83;1.209
stage1_16,+ - - + + +,35.5,0,0,0.8,0.8,75,0.94,0.3243,4,0.144;0.966;1.176;1.472
stage1_17,+ - + - + -,35.5,0,15.8,0,0.8,22,1.21,0.0741,3,0.917;1.258;1.455
stage1_18,+ - + + - +,35.5,0,15.8,0.8,0,75,0.854,0.1752,5,0.37;0.645;0.835;0.917;1.501
stage1_19,+ + - - + -,35.5,56,0,0,0.8,22,0.854,0.0513,3,0.637;0.835;1.089
stage1_20,+ + - + - +,35.5,56,0,0.8,0,75,1.955,1.9957,5,0.28;1.32;1.439;2.857;3.877
stage1_21,+ + + - - -,35.5,56,15.8,0,0,22,0.714,0.0178,3,0.596;0.687;0.859
stage1_22,+ + + - + +,35.5,56,15.8,0,0.8,75,1.203,0.4766,3,0.682;0.941;1.986
stage1_23,+ + + + - -,35.5,56,15.8,0.8,0,22,1.406,0.4937,4,0.707;0.904;1.908;2.105
