condition_id,factor_code,collagen_i_ugml,collagen_iv_ugml,ln411_ugml,fn_ugml,cd31_area_dapi_norm_fn_mean,cd31_area_dapi_norm_fn_variance,n_detected_replicates,raw_extracted_values
stage2_01,0 0 - 0,35.5,56.0,0,48.5,0.564,0.013,2,0.483;0.644
stage2_02,0 0 0 +,35.5,56.0,0.8,75,2.396,3.212,6,0.762;1.158;1.462;2.403;2.924;5.668
stage2_03,- - - +,0,0,0,75,0.65,0.1223,4,0.161;0.712;0.737;0.991
stage2_04,0 0 0 0,35.5,56.0,0.8,48.5,2.957,1.3214,7,1.518;1.753;2.286;2.917;3.747;4.094;4.385
stage2_05,- - + +,0,0,1.6,75,1.691,0.2635,3,1.127;1.815;2.131
stage2_06,+ - - +,71,0,0,75,1.223,0.5457,5,0.328;0.787;1.134;1.635;2.23
stage2_07,+ + + +,71,112,1.6,75,1.677,0.7661,6,0.539;0.96;1.48;1.821;2.372;2.893
stage2_08,+ - + -,71,0,1.6,22,3.088,6.8805,7,0.681;0.824;1.177;2.248;3.865;5.123;7.699
stage2_09,0 - 0 0,35.5,0,0.8,48.5,2.833,1.4344,9,0.935;1.437;1.957;2.905;3.159;3.19;3.332;3.828;4.751
stage2_10,- + - -,0,112,0,22,1.686,0.9205,6,0.489;0.96;1.307;1.765;2.682;2.911
stage2_11,- 0 0 0,0,56.0,0.8,48.5,1.766,0.6426,8,0.52;0.712;1.456;1.778;2.31;2.329;2.428;2.595
stage2_12,+ 0 0 0,71,56.0,0.8,48.5,2.285,1.1602,8,0.725;0.873;1.871;2.094;2.911;2.955;3.277;3.574
stage2_13,0 0 0 -,35.5,56.0,0.8,22,3.667,1.8438,10,1.474;1.48;2.775;3.995;4.014;4.113;4.274;4.317;4.478;5.748
stage2_14,+ - + +,71,0,1.6,75,2.176,0.4339,3,1.623;2.001;2.905
stage2_15,+ + - -,71,112,0,22,0.884,0.3168,4,0.396;0.514;0.991;1.635
stage2_16,- + + -,0,112,1.6,22,2.222,0.7758,7,0.471;1.796;2.143;2.509;2.756;2.886;2.992
stage2_17,0 + 0 0,35.5,112,0.8,48.5,3.294,3.3697,6,0.904;2.242;2.88;3.376;4.014;6.349
stage2_18,- - + -,0,0,1.6,22,3.042,1.9439,6,0.818;1.914;3.351;3.605;4.218;4.348
stage2_19,+ + + -,71,112,1.6,22,3.381,5.53,7,0.211;1.189;3.159;3.289;3.679;4.708;7.433
stage2_20,+ - - -,71,0,0,22,0.692,0.054,5,0.378;0.619;0.675;0.774;1.016
stage2_21,- + + +,0,112,1.6,75,2.336,0.466,6,1.059;2.261;2.385;2.509;2.8;3.004
stage2_22,0 0 + 0,35.5,56.0,1.6,48.5,3.06,1.4486,7,1.778;1.895;2.013;3.103;3.605;4.317;4.708
stage2_23,+ + - +,71,112,0,75,0.836,0.2238,5,0.304;0.588;0.756;0.972;1.561
stage2_24,- + - +,0,112,0,75,0.966,0.1737,8,0.081;0.787;0.972;0.979;0.997;1.121;1.326;1.462
stage2_25,- - - -,0,0,0,22,0.846,0.2363,3,0.322;0.935;1.282
