file,coating,coating_coded,dose_ug_mL,coded_dose,metric_name,metric_unit,metric_protocol_version,events,y_candidate,y_candidate_p95,y_candidate_p99_9,y_spread_pp,y_sd,n_replicates,control,status
flow/2026-08-06/Exp_20260806_cd31-cd140a/f0.5.fcs,fibronectin,0.0,0.5,0.0,CD31_pct_flow,percent_of_parent,cytoflexlx-cd31-cd140a-2026-08-06,25897,31.6948,38.3712,27.5978,10.7734,,1,us.fcs,awaiting_human_signoff
flow/2026-08-06/Exp_20260806_cd31-cd140a/f1.fcs,fibronectin,0.0,1.0,0.0256410256,CD31_pct_flow,percent_of_parent,cytoflexlx-cd31-cd140a-2026-08-06,40624,47.3464,55.7946,41.6921,14.1025,,1,us.fcs,awaiting_human_signoff
flow/2026-08-06/Exp_20260806_cd31-cd140a/f2.5.fcs,fibronectin,0.0,2.5,0.1025641026,CD31_pct_flow,percent_of_parent,cytoflexlx-cd31-cd140a-2026-08-06,35434,46.8477,54.126,41.9512,12.1747,,1,us.fcs,awaiting_human_signoff
flow/2026-08-06/Exp_20260806_cd31-cd140a/f5.fcs,fibronectin,0.0,5.0,0.2307692308,CD31_pct_flow,percent_of_parent,cytoflexlx-cd31-cd140a-2026-08-06,53458,38.6621,47.0949,33.4992,13.5957,,1,us.fcs,awaiting_human_signoff
flow/2026-08-06/Exp_20260806_cd31-cd140a/f10.fcs,fibronectin,0.0,10.0,0.4871794872,CD31_pct_flow,percent_of_parent,cytoflexlx-cd31-cd140a-2026-08-06,39548,46.3285,54.5868,41.0843,13.5026,,1,us.fcs,awaiting_human_signoff
flow/2026-08-06/Exp_20260806_cd31-cd140a/f20.fcs,fibronectin,0.0,20.0,1.0,CD31_pct_flow,percent_of_parent,cytoflexlx-cd31-cd140a-2026-08-06,50920,36.4474,44.2105,31.4886,12.7219,,1,us.fcs,awaiting_human_signoff
flow/2026-08-06/Exp_20260806_cd31-cd140a/v0.5.fcs,vitronectin,1.0,0.5,0.0,CD31_pct_flow,percent_of_parent,cytoflexlx-cd31-cd140a-2026-08-06,37657,22.5642,28.7437,19.6564,9.0873,,1,us.fcs,awaiting_human_signoff
flow/2026-08-06/Exp_20260806_cd31-cd140a/v1.fcs,vitronectin,1.0,1.0,0.0256410256,CD31_pct_flow,percent_of_parent,cytoflexlx-cd31-cd140a-2026-08-06,39077,40.108,47.8184,36.034,11.7844,,1,us.fcs,awaiting_human_signoff
flow/2026-08-06/Exp_20260806_cd31-cd140a/v2.5.fcs,vitronectin,1.0,2.5,0.1025641026,CD31_pct_flow,percent_of_parent,cytoflexlx-cd31-cd140a-2026-08-06,42140,39.6061,47.3422,35.0831,12.2591,,1,us.fcs,awaiting_human_signoff
flow/2026-08-06/Exp_20260806_cd31-cd140a/v5.fcs,vitronectin,1.0,5.0,0.2307692308,CD31_pct_flow,percent_of_parent,cytoflexlx-cd31-cd140a-2026-08-06,33486,41.265,50.1881,36.7258,13.4623,,1,us.fcs,awaiting_human_signoff
flow/2026-08-06/Exp_20260806_cd31-cd140a/v10.fcs,vitronectin,1.0,10.0,0.4871794872,CD31_pct_flow,percent_of_parent,cytoflexlx-cd31-cd140a-2026-08-06,42275,34.2543,40.8776,30.8717,10.0059,,1,us.fcs,awaiting_human_signoff
flow/2026-08-06/Exp_20260806_cd31-cd140a/v20.fcs,vitronectin,1.0,20.0,1.0,CD31_pct_flow,percent_of_parent,cytoflexlx-cd31-cd140a-2026-08-06,36891,39.8471,46.735,35.6781,11.0569,,1,us.fcs,awaiting_human_signoff
