path,day,instrument,coverage_frac,otsu_threshold,otsu_separability,coverage_trustworthy,focus,mean_intensity,std_intensity,contrast,objective,exposure,gain,light_intensity,captured,comparability_key
raw/microscopy/evos/2026-08-06/QS_2448.jpg,2026-08-06,evos,0.16943,0.024045,0.64336,True,0.00132318,0.29714,0.03447,,,,,,,
raw/microscopy/evos/2026-08-06/QS_2449.jpg,2026-08-06,evos,0.36765,0.035508,0.62617,True,0.00320443,0.07695,0.04636,,,,,,,
raw/microscopy/evos/2026-08-06/QS_2450.jpg,2026-08-06,evos,0.38753,0.027254,0.65521,True,0.00186404,0.07104,0.04056,,,,,,,
raw/microscopy/evos/2026-08-06/QS_2451.jpg,2026-08-06,evos,0.43234,0.038727,0.65093,True,0.00337317,0.04548,0.05896,,,,,,,
raw/microscopy/evos/2026-08-06/QS_2452.jpg,2026-08-06,evos,0.37176,0.010559,0.62985,True,0.00010865,0.04681,0.0282,,,,,,,
raw/microscopy/evos/2026-08-06/QS_2453.jpg,2026-08-06,evos,0.49333,0.044561,0.65868,True,0.00892668,0.06127,0.06787,,,,,,,
raw/microscopy/evos/2026-08-06/QS_2454.jpg,2026-08-06,evos,0.35163,0.03959,0.73182,True,0.00557036,0.34677,0.07245,,,,,,,
raw/microscopy/leica/2026-07-27/Leica_2026-07-27 EC well2-1.jpeg,2026-07-27,leica,0.35333,0.059592,0.64208,True,0.01518623,0.5881,0.08561,PH,4X,19000.0,1.0,45.0,2026-07-27T15:38:10.388000,PH|4X|19000|1|45
raw/microscopy/leica/2026-07-27/Leica_2026-07-27 EC well2-2.jpeg,2026-07-27,leica,0.41616,0.038013,0.60066,True,0.00654276,0.60079,0.05663,PH,4X,19000.0,1.0,45.0,2026-07-27T15:39:18.855000,PH|4X|19000|1|45
raw/microscopy/leica/2026-07-27/Leica_2026-07-27 EC well3-1.jpeg,2026-07-27,leica,0.40938,0.059895,0.56773,True,0.0157963,0.68502,0.07295,PH,4X,19000.0,1.0,45.0,2026-07-27T15:40:03.377000,PH|4X|19000|1|45
raw/microscopy/leica/2026-07-27/Leica_2026-07-27 well1-1.jpeg,2026-07-27,leica,0.35696,0.052344,0.687,True,0.01177061,0.4803,0.09098,PH,4X,19000.0,1.0,45.0,2026-07-27T15:42:09.246000,PH|4X|19000|1|45
