run_id,collagen_i,collagen_iv,laminin_111,laminin_411,laminin_511,fibronectin,response,response_q1,response_q3,reading_error,extraction_1,extraction_2,reconciled,flagged,flag_reason
stage1_01,-1,-1,-1,-1,-1,-1,0.9692,0.6735,1.2649,0.025,0.966,0.9692,0.9692,false,
stage1_02,-1,-1,-1,-1,1,1,0.6982,0.3532,0.7721,0.025,0.526,0.6982,0.6982,false,
stage1_03,-1,-1,-1,1,-1,1,1.3552,0.5749,2.9405,0.025,1.665,1.3552,1.3552,false,
stage1_04,-1,-1,-1,1,1,-1,0.7967,0.7721,1.1335,0.025,1.001,0.7967,0.7967,false,
stage1_05,-1,-1,1,-1,-1,1,0.6982,0.4846,0.9856,0.025,0.723,0.6982,0.6982,false,
stage1_06,-1,-1,1,1,-1,-1,1.306,0.8378,2.1191,0.025,1.41,1.306,1.306,false,
stage1_07,-1,-1,1,1,1,1,1.0349,0.3121,1.577,0.025,0.961,1.0349,1.0349,false,
stage1_08,-1,1,-1,-1,-1,1,0.8953,0.345,1.9138,0.025,1.155,0.8953,0.8953,false,
stage1_09,-1,1,-1,1,-1,-1,1.2074,0.6324,1.4702,0.025,1.098,1.2074,1.2074,false,
stage1_10,-1,1,-1,1,1,1,0.5092,0.1232,1.0267,0.025,0.542,0.5092,0.5092,false,
stage1_11,-1,1,1,-1,1,-1,0.5257,0.1561,0.9692,0.025,0.651,0.5257,0.5257,false,
stage1_12,-1,1,1,1,-1,1,0.8706,0.2793,1.462,0.025,0.727,0.8706,0.8706,false,
stage1_13,0,0,0,0,0,0,0.6078,0.4435,0.8214,0.025,0.626,0.6078,0.6078,false,
stage1_14,1,-1,-1,-1,-1,1,1.1581,0.616,1.8645,0.025,1.213,1.1581,1.1581,false,
stage1_15,1,-1,-1,1,-1,-1,0.846,0.7556,1.1335,0.025,0.929,0.846,0.846,false,
stage1_16,1,-1,-1,1,1,1,1.191,0.5667,1.5031,0.025,0.94,1.191,1.191,false,
stage1_17,1,-1,1,-1,1,-1,1.2649,1.0103,1.4209,0.025,1.21,1.2649,1.2649,false,
stage1_18,1,-1,1,1,-1,1,0.7556,0.3778,1.0678,0.025,0.854,0.7556,0.7556,false,
stage1_19,1,1,-1,-1,1,-1,0.8296,0.6489,0.9692,0.025,0.854,0.8296,0.8296,false,
stage1_20,1,1,-1,1,-1,1,1.4456,0.8131,3.3758,0.025,1.955,1.4456,1.4456,false,
stage1_21,1,1,1,-1,-1,-1,0.6982,0.6078,0.8296,0.025,0.714,0.6982,0.6982,false,
stage1_22,1,1,1,-1,1,1,0.9528,0.6899,1.9877,0.025,1.203,0.9528,0.9528,false,
stage1_23,1,1,1,1,-1,-1,0.9117,0.7064,2.0205,0.025,1.406,0.9117,0.9117,false,
