run_id,collagen_i,collagen_iv,laminin_411,fibronectin,response,response_q1,response_q3,reading_error,extraction_1,extraction_2,reconciled,flagged,flag_reason
stage2_01,0,0,-1,0,0.6561,0.3714,0.7056,0.037,0.564,0.6561,0.6561,false,
stage2_02,0,0,0,1,1.3122,0.8171,4.0234,0.037,2.396,1.3122,1.3122,false,
stage2_03,-1,-1,-1,1,0.7056,0.4704,1.0028,0.037,0.65,0.7056,0.7056,false,
stage2_04,0,0,0,0,2.1912,1.9312,3.9243,0.037,2.957,2.1912,2.1912,false,
stage2_05,-1,-1,1,1,,1.3741,2.7978,0.037,1.691,,,true,"NOT SEPARABLE: a 10 px full-width band at the top (its Q1 rule is 2 px) and no full-width rule below it -- the median is drawn flush against Q3. Bounded to [2.686, 2.798]"
stage2_06,1,-1,-1,1,0.6685,0.4085,1.8693,0.037,1.223,0.6685,0.6685,false,
stage2_07,1,1,1,1,1.9312,0.8047,2.8597,0.037,1.677,1.9312,1.9312,false,
stage2_08,1,-1,1,-1,2.2655,0.9285,6.8336,0.037,3.088,2.2655,2.2655,false,
stage2_09,0,-1,0,0,3.3425,1.9065,4.4443,0.037,2.833,3.3425,3.3425,false,
stage2_10,-1,1,-1,-1,1.3122,0.7799,2.773,0.037,1.686,1.3122,1.3122,false,
stage2_11,-1,0,0,0,2.3645,0.6809,2.8473,0.037,1.766,2.3645,2.3645,true,"median corrected: rows 508-511 are the Q3 rule; the median rule is rows 547-548, width 31/31"
stage2_12,1,0,0,0,1.9931,0.8418,3.0825,0.037,2.285,1.9931,1.9931,false,
stage2_13,0,0,0,-1,4.011,1.4856,4.6795,0.037,3.667,4.011,4.011,false,
stage2_14,1,-1,1,1,1.5227,1.3122,2.7111,0.037,2.176,1.5227,1.5227,false,
stage2_15,1,1,-1,-1,1.2875,0.4333,1.5475,0.037,0.884,1.2875,1.2875,false,
stage2_16,-1,1,1,-1,2.1541,0.4457,2.8226,0.037,2.222,2.1541,2.1541,false,
stage2_17,0,1,0,0,2.8968,1.5846,5.1994,0.037,3.294,2.8968,2.8968,false,
stage2_18,-1,-1,1,-1,3.4911,1.6341,4.2586,0.037,3.042,3.4911,3.4911,true,"median corrected: row 397 is inside a 4 px Q3 rule; the median rule is row 456, width 30/30. B reads 3.48 independently"
stage2_19,1,1,1,-1,3.4911,0.9409,5.3975,0.037,3.381,3.4911,3.4911,false,
stage2_20,1,-1,-1,-1,0.6809,0.4333,0.9532,0.037,0.692,0.6809,0.6809,false,
stage2_21,-1,1,1,1,2.4264,1.9684,2.8597,0.037,2.336,2.4264,2.4264,false,
stage2_22,0,0,1,0,2.7978,1.7703,4.4195,0.037,3.06,2.7978,2.7978,false,
stage2_23,1,1,-1,1,0.9904,0.3095,1.2256,0.037,0.836,0.9904,0.9904,false,
stage2_24,-1,1,-1,1,1.0523,0.6066,1.3618,0.037,0.966,1.0523,1.0523,false,
stage2_25,-1,-1,-1,-1,1.0275,0.4704,1.1142,0.037,0.846,1.0275,1.0275,false,
