commit,date,subject,research_era,purpose,important_files,conclusion_status,superseding_commit,paper_relevance,audit_notes
6e4f22edd25ca080dab081f416bada10fccb7418,2026-09-01,feat: redesign SPADE figures for publication and presentation,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
9d88dc454e85396db64d531a4b044a9ca1ddca18,2026-08-31,"Scoreboard: the whole result at a glance, with the language guard",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
549a4515e7f9544a5083c0432f2bbbb180033f94,2026-08-31,"Propagate DC: parity confirmed in one process, DoE claim now measured",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
843a44fbf0cd5a90237f9314e4266ada77394720,2026-08-31,DC RESULT: DC-1 PASSES -- DoE cannot certify; its failure is over-confidence,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
352563dffa356d499e3a0391d45bcfa108f75dc9,2026-08-30,"DC analyser, frozen while the run is in flight",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
96be936f8113736500df6365c87da45d0c52d4e0,2026-08-30,CORRECTION: the BO drift is not significant; my 4-cell alarm was wrong,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
58faefaecf4f8e1257e4941dd9d60c0d8e969e0c,2026-08-30,DC amendment: the BO arm has DRIFTED; LC's parity claim is provisional,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
8568a449ccf261a3ea19fb9caacd67d761c3f2ac,2026-08-30,DC: frozen gate -- can classical DoE certify a design space at all?,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
270a4a4a276207b6b065296b0303729796e91472,2026-08-30,Propagate the TT result; correct the rho-estimand error at its source,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
bdd9f52438d11b32eaa35405608e64ca0b486de3,2026-08-30,TT RESULT: correct targeting FAILS both gates -- KF-3 vindicated,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
5983bad6ebe6d84669b68ae1b34df7f29b33ec4c,2026-08-30,"TT analyser and runner, frozen before the data",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
706ebf0095001fd7a79a9a3902b12d5074637735,2026-08-30,gitignore: pin the TT results before they are written,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
c6c034c1bf337c1c51f9d3660c0a6d40c12b7a33,2026-08-30,TT: frozen gate -- does SPADE's mechanism work when correctly aimed?,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
f0164bd62ee7103e5f289ddd0ba93be93cc3f5c4,2026-08-30,"SPADE is the paper: write the argument, demote the terminal-rule study",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
b29f4eb9e07a754b6aa4c428fa40d3177cfc23f4,2026-08-30,Design: SPADE becomes the paper's argument; terminal-rule demoted to companion,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
b93061b06257b4b932a41fc56ee0b300bd0bbc16,2026-08-30,Flag three PRE-EXISTING replay reproduction failures on main,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
38b26bd2310827140e876c55ccd412625edb7eb6,2026-08-30,Merge remote-tracking branch 'origin/main' into kr-effective-resolution,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
fb6000eb6004882d8b6203a58c2f2db4e5f005e6,2026-08-30,Handoff: record the verified state,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
2a9c23ea1bd7f74c745d9ecab704c43114641ca7,2026-08-30,Guard: machine-check that the conclusions reproduce from committed data,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
ae9ecc062f7e76539940bad75da76a02707dfd7a,2026-08-30,"Connect the docs: current handoff, superseded notices, precise data refs",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
b5a5bfeb8aa7dbc101bb22162a1c2439dec8c19e,2026-08-29,"Conclusions as of 2026-08-29: what stands, what was withdrawn, and how",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
0728d0780b28b5b33e9ae8eca47cd62f62b651c7,2026-08-29,ACK-1 FAILS: theta cancels out of the acquisition. Root cause retracted.,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
6947c810da2e293d5f425a2a67a3410b215f9b07,2026-08-29,"ACK: root cause of the ackley loss, fix, and frozen gate",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
0ff1e309b4e15dbb403086b0b1c95ac2f9487c66,2026-08-29,"TAU at 64 seeds: TAU-2 PASSES -- hill certifies, scope restriction lifted",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
101799f1b09cec662ea739144e741b1e1b5b54e7,2026-08-29,"TAU RESULT at 32 seeds: TAU-1 and TAU-3 pass, TAU-2 fails on n",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
f696567e47dafe9fd1efefcaf7d0922704ee20e5,2026-08-29,gitignore: pin the TAU sweep results before they are written,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
cb9e391f27aa4f140d4e839b0a4ab339e76cbf21,2026-08-29,"TAU runner and analyser, frozen before the data",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
0c21304dfbb471ce7709e49933b6f7d8c8164ed4,2026-08-29,"TAU: pre-registration, frozen before any TAU data exists",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
7d0e519607fdb4e60a26a44aab35c3581471caad,2026-08-29,LC at 32 seeds + root cause for hill saturation,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
cf80ac12a79c389540df517423bc31746fe96648,2026-08-29,"LC RESULT: the headline is withdrawn, and hill saturates",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
942eae328eadc5a8e2dfe0d061fb5fdd49f1146f,2026-08-29,"LC analyser: leave-one-seed-out, labelled post-hoc",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
a64e3a4e38f8ec9fae89e9eb41f4ba2b58cd43f5,2026-08-29,"LC analyser, frozen with the spec and before the data",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
19f845a7f7757b0c985b365ceb1ecbe69b984b61,2026-08-29,"LC: pre-registration, frozen before the data lands",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
afe04a9e5c9baabde46066f0c612904c2bb9dd1e,2026-08-29,"LB non-monotonicity: examined, and it is not noise",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
8c5219798256fac933874606b7e90d2d3f12cf20,2026-08-29,"LC: --resume so a reboot costs minutes, not hours",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
07ae40eb8723cfc76f6f85d4342c8b573e291bfb,2026-08-29,"Handoff doc: safe to restart, with LC relaunch commands",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
3bab48f1ae27b97bab758eee99c5f8d7c427ec39,2026-08-29,LC: the confirmatory run the headline needs,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
aafa65c678c8f2896359a09d999d5fe5daccaef1,2026-08-29,"Headline: SPADE at 5 rounds matches qLogNEI at 10 on regret, and certifies where it cannot",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
2cad89f8f46f045e60b0565bbf328f4ae72a4422,2026-08-29,LB RESULT: LB-1 PASSES -- SPADE beats qLogNEI on certified volume at matched rounds,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
10970c3bb64f0dc842387fdd680febba37a4d69c,2026-08-28,Probe: SUR vs the straddle proxies it was meant to stand in for,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
458ff424614fefdcc23415f6837889043c9ac978,2026-08-28,"Implement SUR on certified volume -- the objective itself, not a proxy",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
02b899120bf9b96f6196839a22fb0aa00a601720,2026-08-28,"LB runner: SPADE vs qLogNEI at matched round counts 2,3,4,5",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
4411e5e8ed96c76190680dfb8c67f51b5ec20db2,2026-08-28,Pre-register LB: SPADE vs qLogNEI at every matched round count,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
29cbe48447948516fe05f82306ef27ccb628290c,2026-08-28,"LA RESULT: KX's margin was ALL round count, and SPADE wins on regret at matched rounds",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
c6e5f3323dd2da09c74e66e43748dbddcb243ab4,2026-08-28,Add multi-round SPADE: spend the same wells across more adaptive rounds,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
9da0e36d91ac6b89d48637c02fcc8284dbe719a8,2026-08-28,"LA analyser, written before its data lands",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
f0917ac2b18402ad0b4cb7d2758f793dfc0d63bb,2026-08-28,"KZ-2: finite set gives 2.9x answers at identical containment (sigma=0.25), 0% above it",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
91b32387c4d3cf2c67d30623f6a3234a0a9e0d16,2026-08-28,Add the rho-contour arm to LA -- the acquisition fix the certificate actually needs,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
83a611251bfec57128ee1b5f4cf276909a471752,2026-08-28,LA runner: round-matched benchmark,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
4cbe17e0919e4baa66e9117b96c70420c4ac2bfc,2026-08-28,Pre-register LA: the round-matched benchmark KX failed to control,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
fe24b284bb4c5a3f4dc4bacec8315ccf63932b5a,2026-08-28,KX RESULT: KX-1 FAILS -- qLogNEI's certificate beats SPADE's,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
b1a50695a0ab5480126e0abec9479321dc167e0f,2026-08-28,docs: archive meanmarg manufacturing gate FAIL (0 survivors),UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
9ce0e066cf7a67b83ebf5777e50c77d4ff85b575,2026-08-28,chore: commit multi-CQA audit artifacts and meanmarg gate shard,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
57e0749fe134a7d3b99075efdd251e476edff34d,2026-08-28,feat(spade): wire multi-CQA to meanmarg and fix lockbox freeze hash,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
1b884ba5fd30e1b0cea347d2886df45fd34fb594,2026-08-27,docs: plan SPADE EC differentiation roadmap,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
11b405f09a6ebb7eceade4cccb7efad536c18142,2026-08-27,feat: register multi-CQA safety benchmark,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
84e8aab0f6776b42d8e8c6231a08feb0aaef92f5,2026-08-27,fix: score multi-CQA certificates on candidate grid,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
40ce691ea67b58ea759065ed47dd2372b2efd86d,2026-08-27,chore: register synthetic multi-CQA configuration,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
26b32f111b751d1f64a65d2f4067b63f8d8db807,2026-08-27,feat: intersect multi-CQA SPADE certificates,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
dff088ef05ed0991faf19cf8eba8cfc6143421e2,2026-08-27,docs: plan multi-CQA qualification implementation,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
25e0ef69c780b1a4ead0ea52070f466db7f26603,2026-08-27,docs: design SPADE multi-CQA qualification,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
