baseline_path,file_type,first_commit,latest_meaningful_commit,research_era,scientific_question,evidence_level,manuscript_claim,reproduction_role,dependencies,supersession_status,classification,destination,rationale
"""data/lab/raw/protocols/IPSC\345\210\206\345\214\226EC-2.docx""","docx""",547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
"""data/lab/raw/protocols/IPSC\345\210\206\345\214\226EC-3.docx""","docx""",547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.github/workflows/spade-distributed.yml,yml,2f10458d9e4444f66647491dd5ddd8a8c9a7e46f,2f10458d9e4444f66647491dd5ddd8a8c9a7e46f,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.gitignore,[none],89e4babce0bb1cbce717d49eaaf733459162a861,58faefaecf4f8e1257e4941dd9d60c0d8e969e0c,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.planning/PROJECT.md,md,b348dec3a0017e7c6f62e76b2c948da54e5f1452,d5f0a58b2302bb8780f3ad53d9c5e63782e3ad8f,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.planning/REQUIREMENTS.md,md,b348dec3a0017e7c6f62e76b2c948da54e5f1452,d5f0a58b2302bb8780f3ad53d9c5e63782e3ad8f,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.planning/ROADMAP.md,md,b348dec3a0017e7c6f62e76b2c948da54e5f1452,502ea3948976b15f849aecf680e24a0487eed742,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.planning/STATE.md,md,b348dec3a0017e7c6f62e76b2c948da54e5f1452,b1a50695a0ab5480126e0abec9479321dc167e0f,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.planning/codebase/ARCHITECTURE.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,e4b41a8d62405b3e9badc91036d780b2231aff0b,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.planning/codebase/CONCERNS.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,ee0039d09a814282c68a4325a1f9dbbc507e6a32,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.planning/codebase/CONVENTIONS.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,e4b41a8d62405b3e9badc91036d780b2231aff0b,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.planning/codebase/INTEGRATIONS.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,ee0039d09a814282c68a4325a1f9dbbc507e6a32,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.planning/codebase/STACK.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,e4b41a8d62405b3e9badc91036d780b2231aff0b,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.planning/codebase/STRUCTURE.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,ee0039d09a814282c68a4325a1f9dbbc507e6a32,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
.planning/codebase/TESTING.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,ee0039d09a814282c68a4325a1f9dbbc507e6a32,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
START-HERE-PERSON-A.md,md,89e4babce0bb1cbce717d49eaaf733459162a861,89e4babce0bb1cbce717d49eaaf733459162a861,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
configs/experiment/e2.yaml,yaml,678972c3faa753efbb59937a154b2b9a9408f392,fe477e76286c7a18b17b06a39a42867ffc4a4f1a,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
configs/experiment/e4.yaml,yaml,89e4babce0bb1cbce717d49eaaf733459162a861,27daa2da54378fdbbb214ae9fe771deb3d1c2454,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
configs/experiment/spade-joint.yaml,yaml,6f3d42f6c658eac699c9b89d6c26509b3f548dbf,7cd3bcf35e39c7e145a8248e506cad77b2327f2c,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
configs/experiment/spade-multi-cqa-benchmark.yaml,yaml,11b405f09a6ebb7eceade4cccb7efad536c18142,57e0749fe134a7d3b99075efdd251e476edff34d,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
configs/experiment/spade-multi-cqa-qualification.yaml,yaml,40ce691ea67b58ea759065ed47dd2372b2efd86d,57e0749fe134a7d3b99075efdd251e476edff34d,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
configs/lab/coating_2026-08-06.yaml,yaml,9bcef5768e67f1400fe8b183467e81554f00f271,d110da826529081b1533782840d35eed7248e825,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/external/extraction_a/EXTRACTION_NOTES.md,md,4ad56986d34996a69d596767920ef41ff4342300,4ad56986d34996a69d596767920ef41ff4342300,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/external/extraction_a/stage1_fig1a_table1_extracted.csv,csv,4ad56986d34996a69d596767920ef41ff4342300,4ad56986d34996a69d596767920ef41ff4342300,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/external/extraction_a/stage2_fig2a_table2_extracted.csv,csv,4ad56986d34996a69d596767920ef41ff4342300,4ad56986d34996a69d596767920ef41ff4342300,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/external/hall_ogle_2025/fig1_raw.png,png,e28c84c95de028595772236b3d94b2d9f19389bb,e28c84c95de028595772236b3d94b2d9f19389bb,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/external/hall_ogle_2025/fig2_raw.png,png,e28c84c95de028595772236b3d94b2d9f19389bb,e28c84c95de028595772236b3d94b2d9f19389bb,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/external/hall_ogle_2025/stage1.json,json,e28c84c95de028595772236b3d94b2d9f19389bb,e28c84c95de028595772236b3d94b2d9f19389bb,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/external/hall_ogle_2025/stage2.json,json,e28c84c95de028595772236b3d94b2d9f19389bb,4ad56986d34996a69d596767920ef41ff4342300,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/README.md,md,f740258f18f3ae6ecc9a42a2938077568ef065a7,9a2161ba162ccdc947eb7a96f58fb0405e2cacd6,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
