baseline_path,file_type,first_commit,latest_meaningful_commit,research_era,scientific_question,evidence_level,manuscript_claim,reproduction_role,dependencies,supersession_status,classification,destination,rationale
.github/workflows/spade-distributed.yml,yml,2f10458d9e4444f66647491dd5ddd8a8c9a7e46f,2f10458d9e4444f66647491dd5ddd8a8c9a7e46f,SPADE_MANUFACTURING_RECOVERY,Reproduce and validate the SPADE paper,ACTIVE,NONE,build and execution infrastructure,"Publication build, environment, or repository-level validation dependency",NONE IDENTIFIED,INFRASTRUCTURE,.github/workflows/spade-distributed.yml,Active environment or automation required by the paper repository.
.gitignore,[none],89e4babce0bb1cbce717d49eaaf733459162a861,58faefaecf4f8e1257e4941dd9d60c0d8e969e0c,SPADE_CONFIRMATION_AND_PAPER,Reproduce and validate the SPADE paper,ACTIVE,NONE,build and execution infrastructure,"Publication build, environment, or repository-level validation dependency",NONE IDENTIFIED,INFRASTRUCTURE,.gitignore,Active environment or automation required by the paper repository.
.planning/PROJECT.md,md,b348dec3a0017e7c6f62e76b2c948da54e5f1452,d5f0a58b2302bb8780f3ad53d9c5e63782e3ad8f,SPADE_DEVELOPMENT_AND_LOCKBOX,Historical or non-paper work,HISTORICAL,NONE,historical record,NONE — no active claim consumer; preserved at archive/superseded-spade/.planning/PROJECT.md,SUPERSEDED BY PAPER AUDIT,ARCHIVE-SUPERSEDED,archive/superseded-spade/.planning/PROJECT.md,Project-management history is useful provenance but not paper evidence.
.planning/REQUIREMENTS.md,md,b348dec3a0017e7c6f62e76b2c948da54e5f1452,d5f0a58b2302bb8780f3ad53d9c5e63782e3ad8f,SPADE_DEVELOPMENT_AND_LOCKBOX,Historical or non-paper work,HISTORICAL,NONE,historical record,NONE — no active claim consumer; preserved at archive/superseded-spade/.planning/REQUIREMENTS.md,SUPERSEDED BY PAPER AUDIT,ARCHIVE-SUPERSEDED,archive/superseded-spade/.planning/REQUIREMENTS.md,Project-management history is useful provenance but not paper evidence.
.planning/ROADMAP.md,md,b348dec3a0017e7c6f62e76b2c948da54e5f1452,502ea3948976b15f849aecf680e24a0487eed742,SPADE_MANUFACTURING_RECOVERY,Historical or non-paper work,HISTORICAL,NONE,historical record,NONE — no active claim consumer; preserved at archive/superseded-spade/.planning/ROADMAP.md,SUPERSEDED BY PAPER AUDIT,ARCHIVE-SUPERSEDED,archive/superseded-spade/.planning/ROADMAP.md,Project-management history is useful provenance but not paper evidence.
.planning/STATE.md,md,b348dec3a0017e7c6f62e76b2c948da54e5f1452,b1a50695a0ab5480126e0abec9479321dc167e0f,SPADE_MANUFACTURING_RECOVERY,Historical or non-paper work,HISTORICAL,NONE,historical record,NONE — no active claim consumer; preserved at archive/superseded-spade/.planning/STATE.md,SUPERSEDED BY PAPER AUDIT,ARCHIVE-SUPERSEDED,archive/superseded-spade/.planning/STATE.md,Project-management history is useful provenance but not paper evidence.
.planning/codebase/ARCHITECTURE.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,e4b41a8d62405b3e9badc91036d780b2231aff0b,DESIGN_SPACE_PRE_SPADE,Historical or non-paper work,HISTORICAL,NONE,historical record,NONE — no active claim consumer; preserved at archive/superseded-spade/.planning/codebase/ARCHITECTURE.md,SUPERSEDED BY PAPER AUDIT,ARCHIVE-SUPERSEDED,archive/superseded-spade/.planning/codebase/ARCHITECTURE.md,Project-management history is useful provenance but not paper evidence.
.planning/codebase/CONCERNS.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,ee0039d09a814282c68a4325a1f9dbbc507e6a32,SPADE_MANUFACTURING_RECOVERY,Historical or non-paper work,HISTORICAL,NONE,historical record,NONE — no active claim consumer; preserved at archive/superseded-spade/.planning/codebase/CONCERNS.md,SUPERSEDED BY PAPER AUDIT,ARCHIVE-SUPERSEDED,archive/superseded-spade/.planning/codebase/CONCERNS.md,Project-management history is useful provenance but not paper evidence.
.planning/codebase/CONVENTIONS.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,e4b41a8d62405b3e9badc91036d780b2231aff0b,DESIGN_SPACE_PRE_SPADE,Historical or non-paper work,HISTORICAL,NONE,historical record,NONE — no active claim consumer; preserved at archive/superseded-spade/.planning/codebase/CONVENTIONS.md,SUPERSEDED BY PAPER AUDIT,ARCHIVE-SUPERSEDED,archive/superseded-spade/.planning/codebase/CONVENTIONS.md,Project-management history is useful provenance but not paper evidence.
.planning/codebase/INTEGRATIONS.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,ee0039d09a814282c68a4325a1f9dbbc507e6a32,SPADE_MANUFACTURING_RECOVERY,Historical or non-paper work,HISTORICAL,NONE,historical record,NONE — no active claim consumer; preserved at archive/superseded-spade/.planning/codebase/INTEGRATIONS.md,SUPERSEDED BY PAPER AUDIT,ARCHIVE-SUPERSEDED,archive/superseded-spade/.planning/codebase/INTEGRATIONS.md,Project-management history is useful provenance but not paper evidence.
.planning/codebase/STACK.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,e4b41a8d62405b3e9badc91036d780b2231aff0b,DESIGN_SPACE_PRE_SPADE,Historical or non-paper work,HISTORICAL,NONE,historical record,NONE — no active claim consumer; preserved at archive/superseded-spade/.planning/codebase/STACK.md,SUPERSEDED BY PAPER AUDIT,ARCHIVE-SUPERSEDED,archive/superseded-spade/.planning/codebase/STACK.md,Project-management history is useful provenance but not paper evidence.
.planning/codebase/STRUCTURE.md,md,e4b41a8d62405b3e9badc91036d780b2231aff0b,ee0039d09a814282c68a4325a1f9dbbc507e6a32,SPADE_MANUFACTURING_RECOVERY,Historical or non-paper work,HISTORICAL,NONE,historical record,NONE — no active claim consumer; preserved at archive/superseded-spade/.planning/codebase/STRUCTURE.md,SUPERSEDED BY PAPER AUDIT,ARCHIVE-SUPERSEDED,archive/superseded-spade/.planning/codebase/STRUCTURE.md,Project-management history is useful provenance but not paper evidence.
