path,directory,tube,events,status,control,cd31_detector,cd31_pct,cd31_threshold,cd31_pct_p95,cd31_pct_p99_9,cd31_spread_pp,cd140a_detector,cd140a_pct
raw/flow/2026-07-21/10%FBS-p1.fcs,raw/flow/2026-07-21,10%FBS-p1,19330,gated_candidate,US.fcs,B525-A,0.5691,51325.31,10.1293,0.1449,9.9845,Y585-A,1.1588
raw/flow/2026-07-21/10fbs-p2.fcs,raw/flow/2026-07-21,10fbs-p2,30736,gated_candidate,US.fcs,B525-A,0.4034,51325.31,4.2523,0.0846,4.1678,Y585-A,0.3709
raw/flow/2026-07-21/EGM-3D-p0.fcs,raw/flow/2026-07-21,EGM-3D-p0,20539,gated_candidate,US.fcs,B525-A,5.5066,51325.31,18.2093,1.2269,16.9823,Y585-A,1.4314
raw/flow/2026-07-21/N2-3D-P0.fcs,raw/flow/2026-07-21,N2-3D-P0,65066,gated_candidate,US.fcs,B525-A,2.0994,51325.31,8.7388,0.2198,8.519,Y585-A,0.0661
raw/flow/2026-07-21/T75-p1.fcs,raw/flow/2026-07-21,T75-p1,16671,gated_candidate,US.fcs,B525-A,0.3839,51325.31,2.2674,0.2099,2.0575,Y585-A,0.2639
raw/flow/2026-07-21/US.fcs,raw/flow/2026-07-21,US,17611,control,,,,,,,,,
raw/flow/2026-07-21/ec indu-p1.fcs,raw/flow/2026-07-21,ec indu-p1,14629,gated_candidate,US.fcs,B525-A,0.5195,51325.31,5.1952,0.2803,4.9149,Y585-A,0.2187
raw/flow/2026-07-21/ec indu-p2.fcs,raw/flow/2026-07-21,ec indu-p2,17079,gated_candidate,US.fcs,B525-A,0.2225,51325.31,1.1183,0.1171,1.0012,Y585-A,0.1991
raw/flow/2026-07-21/egm-3d-p1.fcs,raw/flow/2026-07-21,egm-3d-p1,20863,gated_candidate,US.fcs,B525-A,8.6517,51325.31,18.0655,1.1839,16.8816,Y585-A,0.58
raw/flow/2026-07-21/n2-3d-p1.fcs,raw/flow/2026-07-21,n2-3d-p1,19026,gated_candidate,US.fcs,B525-A,6.4491,51325.31,20.3353,0.431,19.9043,Y585-A,1.356
raw/flow/2026-07-21/stem-p1.fcs,raw/flow/2026-07-21,stem-p1,14753,gated_candidate,US.fcs,B525-A,0.4067,51325.31,1.2269,0.2169,1.01,Y585-A,0.0407
raw/flow/2026-07-21/stem-p2.fcs,raw/flow/2026-07-21,stem-p2,19874,gated_candidate,US.fcs,B525-A,0.3271,51325.31,1.7963,0.1006,1.6957,Y585-A,0.2164
