run_id,c,civ,ln411,fn,response,response_sd,response_q1,response_q3,reading_error,extraction_1,extraction_2,reconciled,flagged,flag_reason
1,0,0,-1,0,0.6561,0.2478,0.3714,0.7056,0.037,0.564,0.6561,0.6561,False,
2,0,0,0,1,1.3122,2.3768,0.8171,4.0234,0.037,2.396,1.3122,1.3122,False,
3,-1,-1,-1,1,0.7056,0.3946,0.4704,1.0028,0.037,0.65,0.7056,0.7056,False,
4,0,0,0,0,2.1912,1.4775,1.9312,3.9243,0.037,2.957,2.1912,2.1912,False,
5,-1,-1,1,1,,,1.3741,2.7978,0.037,1.691,,,True,"NOT SEPARABLE: a 10 px full-width band at the top (its Q1 rule is 2 px) and no full-width rule below it -- the median is drawn flush against Q3. Bounded to [2.686, 2.798]"
6,1,-1,-1,1,0.6685,1.0829,0.4085,1.8693,0.037,1.223,0.6685,0.6685,False,
7,1,1,1,1,1.9312,1.5234,0.8047,2.8597,0.037,1.677,1.9312,1.9312,False,
8,1,-1,1,-1,2.2655,4.3774,0.9285,6.8336,0.037,3.088,2.2655,2.2655,False,
9,0,-1,0,0,3.3425,1.8813,1.9065,4.4443,0.037,2.833,3.3425,3.3425,False,
10,-1,1,-1,-1,1.3122,1.4775,0.7799,2.773,0.037,1.686,1.3122,1.3122,False,
11,-1,0,0,0,2.3645,1.606,0.6809,2.8473,0.037,1.766,2.3645,2.3645,True,"median corrected: rows 508-511 are the Q3 rule; the median rule is rows 547-548, width 31/31"
12,1,0,0,0,1.9931,1.661,0.8418,3.0825,0.037,2.285,1.9931,1.9931,False,
13,0,0,0,-1,4.011,2.3676,1.4856,4.6795,0.037,3.667,4.011,4.011,False,
14,1,-1,1,1,1.5227,1.037,1.3122,2.7111,0.037,2.176,1.5227,1.5227,False,
15,1,1,-1,-1,1.2875,0.8259,0.4333,1.5475,0.037,0.884,1.2875,1.2875,False,
16,-1,1,1,-1,2.1541,1.762,0.4457,2.8226,0.037,2.222,2.1541,2.1541,False,
17,0,1,0,0,2.8968,2.6797,1.5846,5.1994,0.037,3.294,2.8968,2.8968,False,
18,-1,-1,1,-1,3.4911,1.9455,1.6341,4.2586,0.037,3.042,3.4911,3.4911,True,"median corrected: row 397 is inside a 4 px Q3 rule; the median rule is row 456, width 30/30. B reads 3.48 independently"
19,1,1,1,-1,3.4911,3.3037,0.9409,5.3975,0.037,3.381,3.4911,3.4911,False,
20,1,-1,-1,-1,0.6809,0.3854,0.4333,0.9532,0.037,0.692,0.6809,0.6809,False,
21,-1,1,1,1,2.4264,0.6607,1.9684,2.8597,0.037,2.336,2.4264,2.4264,True,"design corrected, FN -1 -> +1: strip reads FN low (grey 212.0), duplicating col 15 and omitting corner (-1,+1,+1,+1); Table 2 row 21 prints '- + + +' (pdf_crosscheck.md:130)"
22,0,0,1,0,2.7978,1.9639,1.7703,4.4195,0.037,3.06,2.7978,2.7978,False,
23,1,1,-1,1,0.9904,0.6791,0.3095,1.2256,0.037,0.836,0.9904,0.9904,False,
24,-1,1,-1,1,1.0523,0.5598,0.6066,1.3618,0.037,0.966,1.0523,1.0523,False,
25,-1,-1,-1,-1,1.0275,0.4772,0.4704,1.1142,0.037,0.846,1.0275,1.0275,False,
