/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)
spade-final-2026-08-23 · C1 · hill d=6 sigma=0.25 · tier=primary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[   1/1100] spade_cf_m0          033466197eba seed=0   rows=12 (0.0m, eta 45m)
[   2/1100] spade_cf_m4          033466197eba seed=0   rows=12 (0.1m, eta 39m)
[   3/1100] spade_cf_m8          033466197eba seed=0   rows=12 (0.1m, eta 38m)
[   4/1100] spade_plate1_only    033466197eba seed=0   rows=12 (0.1m, eta 36m)
[   5/1100] spade_random_plate2  033466197eba seed=0   rows=12 (0.2m, eta 36m)
[   6/1100] sobol                033466197eba seed=0   rows=12 (0.2m, eta 36m)
[   7/1100] lhs                  033466197eba seed=0   rows=12 (0.2m, eta 35m)
[   8/1100] random               033466197eba seed=0   rows=12 (0.3m, eta 35m)
[   9/1100] qlognei              033466197eba seed=0   rows=12 (0.4m, eta 46m)
[  10/1100] qlogei               033466197eba seed=0   rows=12 (0.5m, eta 52m)
[  11/1100] doe                  033466197eba seed=0   rows=12 (0.5m, eta 51m)
[  12/1100] spade_cf_m0          033466197eba seed=1   rows=12 (0.5m, eta 50m)
[  13/1100] spade_cf_m4          033466197eba seed=1   rows=12 (0.6m, eta 49m)
[  14/1100] spade_cf_m8          033466197eba seed=1   rows=12 (0.6m, eta 48m)
[  15/1100] spade_plate1_only    033466197eba seed=1   rows=12 (0.6m, eta 47m)
[  16/1100] spade_random_plate2  033466197eba seed=1   rows=12 (0.7m, eta 46m)
[  17/1100] sobol                033466197eba seed=1   rows=12 (0.7m, eta 45m)
[  18/1100] lhs                  033466197eba seed=1   rows=12 (0.7m, eta 44m)
[  19/1100] random               033466197eba seed=1   rows=12 (0.8m, eta 43m)
[  20/1100] qlognei              033466197eba seed=1   rows=12 (0.8m, eta 46m)
[  21/1100] qlogei               033466197eba seed=1   rows=12 (0.9m, eta 46m)
[  22/1100] doe                  033466197eba seed=1   rows=12 (0.9m, eta 46m)
[  23/1100] spade_cf_m0          0a6e0788538a seed=0   rows=12 (1.0m, eta 45m)
[  24/1100] spade_cf_m4          0a6e0788538a seed=0   rows=12 (1.0m, eta 45m)
[  25/1100] spade_cf_m8          0a6e0788538a seed=0   rows=12 (1.0m, eta 44m)
[  26/1100] spade_plate1_only    0a6e0788538a seed=0   rows=12 (1.1m, eta 44m)
[  27/1100] spade_random_plate2  0a6e0788538a seed=0   rows=12 (1.1m, eta 44m)
[  28/1100] sobol                0a6e0788538a seed=0   rows=12 (1.1m, eta 43m)
[  29/1100] lhs                  0a6e0788538a seed=0   rows=12 (1.2m, eta 43m)
[  30/1100] random               0a6e0788538a seed=0   rows=12 (1.2m, eta 42m)
[  31/1100] qlognei              0a6e0788538a seed=0   rows=12 (1.3m, eta 46m)
[  32/1100] qlogei               0a6e0788538a seed=0   rows=12 (1.4m, eta 48m)
[  33/1100] doe                  0a6e0788538a seed=0   rows=12 (1.5m, eta 48m)
[  34/1100] spade_cf_m0          0a6e0788538a seed=1   rows=12 (1.5m, eta 47m)
[  35/1100] spade_cf_m4          0a6e0788538a seed=1   rows=12 (1.5m, eta 47m)
[  36/1100] spade_cf_m8          0a6e0788538a seed=1   rows=12 (1.6m, eta 46m)
[  37/1100] spade_plate1_only    0a6e0788538a seed=1   rows=12 (1.6m, eta 46m)
[  38/1100] spade_random_plate2  0a6e0788538a seed=1   rows=12 (1.6m, eta 45m)
[  39/1100] sobol                0a6e0788538a seed=1   rows=12 (1.7m, eta 45m)
[  40/1100] lhs                  0a6e0788538a seed=1   rows=12 (1.7m, eta 45m)
[  41/1100] random               0a6e0788538a seed=1   rows=12 (1.7m, eta 44m)
[  42/1100] qlognei              0a6e0788538a seed=1   rows=12 (1.8m, eta 45m)
[  43/1100] qlogei               0a6e0788538a seed=1   rows=12 (1.9m, eta 47m)
[  44/1100] doe                  0a6e0788538a seed=1   rows=12 (1.9m, eta 46m)
[  45/1100] spade_cf_m0          0ed87c75239d seed=0   rows=12 (2.0m, eta 46m)
[  46/1100] spade_cf_m4          0ed87c75239d seed=0   rows=12 (2.0m, eta 46m)
[  47/1100] spade_cf_m8          0ed87c75239d seed=0   rows=12 (2.0m, eta 45m)
[  48/1100] spade_plate1_only    0ed87c75239d seed=0   rows=12 (2.0m, eta 45m)
[  49/1100] spade_random_plate2  0ed87c75239d seed=0   rows=12 (2.1m, eta 44m)
[  50/1100] sobol                0ed87c75239d seed=0   rows=12 (2.1m, eta 44m)
[  51/1100] lhs                  0ed87c75239d seed=0   rows=12 (2.1m, eta 44m)
[  52/1100] random               0ed87c75239d seed=0   rows=12 (2.2m, eta 43m)
[  53/1100] qlognei              0ed87c75239d seed=0   rows=12 (2.3m, eta 44m)
[  54/1100] qlogei               0ed87c75239d seed=0   rows=12 (2.4m, eta 47m)
[  55/1100] doe                  0ed87c75239d seed=0   rows=12 (2.4m, eta 47m)
[  56/1100] spade_cf_m0          0ed87c75239d seed=1   rows=12 (2.5m, eta 46m)
[  57/1100] spade_cf_m4          0ed87c75239d seed=1   rows=12 (2.5m, eta 46m)
[  58/1100] spade_cf_m8          0ed87c75239d seed=1   rows=12 (2.5m, eta 46m)
[  59/1100] spade_plate1_only    0ed87c75239d seed=1   rows=12 (2.6m, eta 45m)
[  60/1100] spade_random_plate2  0ed87c75239d seed=1   rows=12 (2.6m, eta 45m)
[  61/1100] sobol                0ed87c75239d seed=1   rows=12 (2.6m, eta 45m)
[  62/1100] lhs                  0ed87c75239d seed=1   rows=12 (2.7m, eta 45m)
[  63/1100] random               0ed87c75239d seed=1   rows=12 (2.7m, eta 44m)
[  64/1100] qlognei              0ed87c75239d seed=1   rows=12 (2.8m, eta 45m)
[  65/1100] qlogei               0ed87c75239d seed=1   rows=12 (2.9m, eta 47m)
