spade-final-2026-08-23 · C2 · hill d=6 sigma=0.1 · tier=primary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'TARGET'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[   1/1100] spade_cf_m0          033466197eba seed=0   rows=12 (0.1m, eta 74m)
[   2/1100] spade_cf_m4          033466197eba seed=0   rows=12 (0.1m, eta 58m)
[   3/1100] spade_cf_m8          033466197eba seed=0   rows=12 (0.1m, eta 51m)
[   4/1100] spade_plate1_only    033466197eba seed=0   rows=12 (0.2m, eta 47m)
[   5/1100] spade_random_plate2  033466197eba seed=0   rows=12 (0.2m, eta 45m)
[   6/1100] sobol                033466197eba seed=0   rows=12 (0.2m, eta 43m)
[   7/1100] lhs                  033466197eba seed=0   rows=12 (0.3m, eta 43m)
[   8/1100] random               033466197eba seed=0   rows=12 (0.3m, eta 42m)
[   9/1100] qlognei              033466197eba seed=0   rows=12 (0.4m, eta 53m)
[  10/1100] qlogei               033466197eba seed=0   rows=12 (0.6m, eta 63m)
[  11/1100] doe                  033466197eba seed=0   rows=12 (0.6m, eta 61m)
[  12/1100] spade_cf_m0          033466197eba seed=1   rows=12 (0.7m, eta 60m)
[  13/1100] spade_cf_m4          033466197eba seed=1   rows=12 (0.7m, eta 58m)
[  14/1100] spade_cf_m8          033466197eba seed=1   rows=12 (0.7m, eta 57m)
[  15/1100] spade_plate1_only    033466197eba seed=1   rows=12 (0.8m, eta 55m)
[  16/1100] spade_random_plate2  033466197eba seed=1   rows=12 (0.8m, eta 54m)
[  17/1100] sobol                033466197eba seed=1   rows=12 (0.8m, eta 53m)
[  18/1100] lhs                  033466197eba seed=1   rows=12 (0.9m, eta 52m)
[  19/1100] random               033466197eba seed=1   rows=12 (0.9m, eta 50m)
[  20/1100] qlognei              033466197eba seed=1   rows=12 (1.0m, eta 55m)
[  21/1100] qlogei               033466197eba seed=1   rows=12 (1.1m, eta 58m)
[  22/1100] doe                  033466197eba seed=1   rows=12 (1.2m, eta 57m)
[  23/1100] spade_cf_m0          0a6e0788538a seed=0   rows=12 (1.2m, eta 56m)
[  24/1100] spade_cf_m4          0a6e0788538a seed=0   rows=12 (1.2m, eta 55m)
[  25/1100] spade_cf_m8          0a6e0788538a seed=0   rows=12 (1.3m, eta 55m)
[  26/1100] spade_plate1_only    0a6e0788538a seed=0   rows=12 (1.3m, eta 54m)
[  27/1100] spade_random_plate2  0a6e0788538a seed=0   rows=12 (1.3m, eta 53m)
[  28/1100] sobol                0a6e0788538a seed=0   rows=12 (1.4m, eta 53m)
[  29/1100] lhs                  0a6e0788538a seed=0   rows=12 (1.4m, eta 52m)
[  30/1100] random               0a6e0788538a seed=0   rows=12 (1.4m, eta 51m)
[  31/1100] qlognei              0a6e0788538a seed=0   rows=12 (1.6m, eta 55m)
[  32/1100] qlogei               0a6e0788538a seed=0   rows=12 (1.7m, eta 58m)
[  33/1100] doe                  0a6e0788538a seed=0   rows=12 (1.8m, eta 57m)
[  34/1100] spade_cf_m0          0a6e0788538a seed=1   rows=12 (1.8m, eta 56m)
[  35/1100] spade_cf_m4          0a6e0788538a seed=1   rows=12 (1.8m, eta 56m)
[  36/1100] spade_cf_m8          0a6e0788538a seed=1   rows=12 (1.9m, eta 55m)
[  37/1100] spade_plate1_only    0a6e0788538a seed=1   rows=12 (1.9m, eta 54m)
[  38/1100] spade_random_plate2  0a6e0788538a seed=1   rows=12 (1.9m, eta 54m)
[  39/1100] sobol                0a6e0788538a seed=1   rows=12 (2.0m, eta 53m)
[  40/1100] lhs                  0a6e0788538a seed=1   rows=12 (2.0m, eta 53m)
[  41/1100] random               0a6e0788538a seed=1   rows=12 (2.0m, eta 52m)
[  42/1100] qlognei              0a6e0788538a seed=1   rows=12 (2.1m, eta 54m)
[  43/1100] qlogei               0a6e0788538a seed=1   rows=12 (2.3m, eta 56m)
[  44/1100] doe                  0a6e0788538a seed=1   rows=12 (2.3m, eta 55m)
[  45/1100] spade_cf_m0          0ed87c75239d seed=0   rows=12 (2.3m, eta 55m)
[  46/1100] spade_cf_m4          0ed87c75239d seed=0   rows=12 (2.4m, eta 54m)
[  47/1100] spade_cf_m8          0ed87c75239d seed=0   rows=12 (2.4m, eta 54m)
[  48/1100] spade_plate1_only    0ed87c75239d seed=0   rows=12 (2.5m, eta 54m)
[  49/1100] spade_random_plate2  0ed87c75239d seed=0   rows=12 (2.5m, eta 53m)
[  50/1100] sobol                0ed87c75239d seed=0   rows=12 (2.5m, eta 53m)
[  51/1100] lhs                  0ed87c75239d seed=0   rows=12 (2.6m, eta 53m)
[  52/1100] random               0ed87c75239d seed=0   rows=12 (2.6m, eta 52m)
[  53/1100] qlognei              0ed87c75239d seed=0   rows=12 (2.7m, eta 53m)
[  54/1100] qlogei               0ed87c75239d seed=0   rows=12 (2.8m, eta 55m)
[  55/1100] doe                  0ed87c75239d seed=0   rows=12 (2.9m, eta 54m)
[  56/1100] spade_cf_m0          0ed87c75239d seed=1   rows=12 (2.9m, eta 54m)
[  57/1100] spade_cf_m4          0ed87c75239d seed=1   rows=12 (2.9m, eta 54m)
[  58/1100] spade_cf_m8          0ed87c75239d seed=1   rows=12 (3.0m, eta 53m)
[  59/1100] spade_plate1_only    0ed87c75239d seed=1   rows=12 (3.0m, eta 53m)
[  60/1100] spade_random_plate2  0ed87c75239d seed=1   rows=12 (3.0m, eta 52m)
[  61/1100] sobol                0ed87c75239d seed=1   rows=12 (3.1m, eta 52m)
[  62/1100] lhs                  0ed87c75239d seed=1   rows=12 (3.1m, eta 52m)
[  63/1100] random               0ed87c75239d seed=1   rows=12 (3.1m, eta 51m)
[  64/1100] qlognei              0ed87c75239d seed=1   rows=12 (3.2m, eta 52m)
[  65/1100] qlogei               0ed87c75239d seed=1   rows=12 (3.4m, eta 54m)
[  66/1100] doe                  0ed87c75239d seed=1   rows=12 (3.4m, eta 54m)
[  67/1100] spade_cf_m0          32bb966a18f1 seed=0   rows=12 (3.5m, eta 54m)
[  68/1100] spade_cf_m4          32bb966a18f1 seed=0   rows=12 (3.5m, eta 53m)
[  69/1100] spade_cf_m8          32bb966a18f1 seed=0   rows=12 (3.5m, eta 53m)
