spade-final-2026-08-23 · C3 · hartmann6 d=6 sigma=0.25 · tier=primary
1 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[   1/100] doe_unscreened       hartmann6    seed=0   rows=12 (0.0m, eta 5m)
[   2/100] doe_unscreened       hartmann6    seed=1   rows=12 (0.1m, eta 4m)
[   3/100] doe_unscreened       hartmann6    seed=2   rows=12 (0.1m, eta 4m)
[   4/100] doe_unscreened       hartmann6    seed=3   rows=12 (0.2m, eta 4m)
[   5/100] doe_unscreened       hartmann6    seed=4   rows=12 (0.2m, eta 4m)
[   6/100] doe_unscreened       hartmann6    seed=5   rows=12 (0.2m, eta 4m)
[   7/100] doe_unscreened       hartmann6    seed=6   rows=12 (0.3m, eta 4m)
[   8/100] doe_unscreened       hartmann6    seed=7   rows=12 (0.3m, eta 4m)
[   9/100] doe_unscreened       hartmann6    seed=8   rows=12 (0.4m, eta 4m)
[  10/100] doe_unscreened       hartmann6    seed=9   rows=12 (0.4m, eta 4m)
[  11/100] doe_unscreened       hartmann6    seed=10  rows=12 (0.5m, eta 4m)
[  12/100] doe_unscreened       hartmann6    seed=11  rows=12 (0.5m, eta 4m)
[  13/100] doe_unscreened       hartmann6    seed=12  rows=12 (0.6m, eta 4m)
[  14/100] doe_unscreened       hartmann6    seed=13  rows=12 (0.6m, eta 4m)
[  15/100] doe_unscreened       hartmann6    seed=14  rows=12 (0.7m, eta 4m)
[  16/100] doe_unscreened       hartmann6    seed=15  rows=12 (0.7m, eta 4m)
[  17/100] doe_unscreened       hartmann6    seed=16  rows=12 (0.8m, eta 4m)
[  18/100] doe_unscreened       hartmann6    seed=17  rows=12 (0.8m, eta 4m)
[  19/100] doe_unscreened       hartmann6    seed=18  rows=12 (0.8m, eta 4m)
[  20/100] doe_unscreened       hartmann6    seed=19  rows=12 (0.9m, eta 4m)
[  21/100] doe_unscreened       hartmann6    seed=20  rows=12 (0.9m, eta 4m)
[  22/100] doe_unscreened       hartmann6    seed=21  rows=12 (1.0m, eta 4m)
[  23/100] doe_unscreened       hartmann6    seed=22  rows=12 (1.1m, eta 4m)
[  24/100] doe_unscreened       hartmann6    seed=23  rows=12 (1.1m, eta 3m)
[  25/100] doe_unscreened       hartmann6    seed=24  rows=12 (1.1m, eta 3m)
[  26/100] doe_unscreened       hartmann6    seed=25  rows=12 (1.2m, eta 3m)
[  27/100] doe_unscreened       hartmann6    seed=26  rows=12 (1.2m, eta 3m)
[  28/100] doe_unscreened       hartmann6    seed=27  rows=12 (1.3m, eta 3m)
[  29/100] doe_unscreened       hartmann6    seed=28  rows=12 (1.4m, eta 3m)
[  30/100] doe_unscreened       hartmann6    seed=29  rows=12 (1.4m, eta 3m)
[  31/100] doe_unscreened       hartmann6    seed=30  rows=12 (1.5m, eta 3m)
[  32/100] doe_unscreened       hartmann6    seed=31  rows=12 (1.5m, eta 3m)
[  33/100] doe_unscreened       hartmann6    seed=32  rows=12 (1.6m, eta 3m)
[  34/100] doe_unscreened       hartmann6    seed=33  rows=12 (1.6m, eta 3m)
[  35/100] doe_unscreened       hartmann6    seed=34  rows=12 (1.7m, eta 3m)
[  36/100] doe_unscreened       hartmann6    seed=35  rows=12 (1.7m, eta 3m)
[  37/100] doe_unscreened       hartmann6    seed=36  rows=12 (1.8m, eta 3m)
[  38/100] doe_unscreened       hartmann6    seed=37  rows=12 (1.8m, eta 3m)
[  39/100] doe_unscreened       hartmann6    seed=38  rows=12 (1.9m, eta 3m)
[  40/100] doe_unscreened       hartmann6    seed=39  rows=12 (1.9m, eta 3m)
[  41/100] doe_unscreened       hartmann6    seed=40  rows=12 (2.0m, eta 3m)
[  42/100] doe_unscreened       hartmann6    seed=41  rows=12 (2.0m, eta 3m)
[  43/100] doe_unscreened       hartmann6    seed=42  rows=12 (2.1m, eta 3m)
[  44/100] doe_unscreened       hartmann6    seed=43  rows=12 (2.1m, eta 3m)
[  45/100] doe_unscreened       hartmann6    seed=44  rows=12 (2.2m, eta 3m)
[  46/100] doe_unscreened       hartmann6    seed=45  rows=12 (2.2m, eta 3m)
[  47/100] doe_unscreened       hartmann6    seed=46  rows=12 (2.3m, eta 3m)
[  48/100] doe_unscreened       hartmann6    seed=47  rows=12 (2.3m, eta 3m)
[  49/100] doe_unscreened       hartmann6    seed=48  rows=12 (2.4m, eta 2m)
[  50/100] doe_unscreened       hartmann6    seed=49  rows=12 (2.4m, eta 2m)
[  51/100] doe_unscreened       hartmann6    seed=50  rows=12 (2.5m, eta 2m)
[  52/100] doe_unscreened       hartmann6    seed=51  rows=12 (2.5m, eta 2m)
[  53/100] doe_unscreened       hartmann6    seed=52  rows=12 (2.6m, eta 2m)
[  54/100] doe_unscreened       hartmann6    seed=53  rows=12 (2.6m, eta 2m)
[  55/100] doe_unscreened       hartmann6    seed=54  rows=12 (2.7m, eta 2m)
[  56/100] doe_unscreened       hartmann6    seed=55  rows=12 (2.7m, eta 2m)
[  57/100] doe_unscreened       hartmann6    seed=56  rows=12 (2.8m, eta 2m)
[  58/100] doe_unscreened       hartmann6    seed=57  rows=12 (2.8m, eta 2m)
[  59/100] doe_unscreened       hartmann6    seed=58  rows=12 (2.9m, eta 2m)
[  60/100] doe_unscreened       hartmann6    seed=59  rows=12 (2.9m, eta 2m)
[  61/100] doe_unscreened       hartmann6    seed=60  rows=12 (3.0m, eta 2m)
[  62/100] doe_unscreened       hartmann6    seed=61  rows=12 (3.1m, eta 2m)
[  63/100] doe_unscreened       hartmann6    seed=62  rows=12 (3.1m, eta 2m)
[  64/100] doe_unscreened       hartmann6    seed=63  rows=12 (3.1m, eta 2m)
[  65/100] doe_unscreened       hartmann6    seed=64  rows=12 (3.2m, eta 2m)
[  66/100] doe_unscreened       hartmann6    seed=65  rows=12 (3.2m, eta 2m)
[  67/100] doe_unscreened       hartmann6    seed=66  rows=12 (3.3m, eta 2m)
[  68/100] doe_unscreened       hartmann6    seed=67  rows=12 (3.4m, eta 2m)
[  69/100] doe_unscreened       hartmann6    seed=68  rows=12 (3.4m, eta 2m)
[  70/100] doe_unscreened       hartmann6    seed=69  rows=12 (3.5m, eta 2m)
