K6 · design space vs regret · HEAD=fdd74596423990e0b9b6bc142d42e1df9e2b0af5 · python=3.11.15
cell d=6 sigma=0.25 · arms=('lhs', 'sobol', 'random')
gamma=(0.5, 0.7, 0.8, 0.9, 0.95, 0.99)
tau_frac=(0.6, 0.75, 0.85, 0.95) (of tau_max, never absolute)
grid: 20000 Sobol at seed 0

50 (instance, seed) pairs x 3 arms = 150 campaigns

[  1/50] lhs            033466197eba3ddb seed=0 regret=0.1993 active=6 (2.3s)
[  1/50] sobol          033466197eba3ddb seed=0 regret=0.0740 active=6 (1.5s)
[  1/50] random         033466197eba3ddb seed=0 regret=0.1440 active=6 (2.4s)
[  2/50] lhs            033466197eba3ddb seed=1 regret=0.1878 active=6 (1.6s)
[  2/50] sobol          033466197eba3ddb seed=1 regret=0.0887 active=6 (2.0s)
[  2/50] random         033466197eba3ddb seed=1 regret=0.2524 active=6 (1.6s)
[  3/50] lhs            0a6e0788538a7c52 seed=0 regret=0.1084 active=6 (3.4s)
[  3/50] sobol          0a6e0788538a7c52 seed=0 regret=0.2753 active=6 (2.2s)
[  3/50] random         0a6e0788538a7c52 seed=0 regret=0.1773 active=6 (1.7s)
[  4/50] lhs            0a6e0788538a7c52 seed=1 regret=0.1569 active=6 (1.6s)
[  4/50] sobol          0a6e0788538a7c52 seed=1 regret=0.2126 active=6 (1.9s)
[  4/50] random         0a6e0788538a7c52 seed=1 regret=0.1843 active=6 (1.5s)
[  5/50] lhs            0ed87c75239d73f8 seed=0 regret=0.0669 active=6 (1.8s)
[  5/50] sobol          0ed87c75239d73f8 seed=0 regret=0.1380 active=6 (1.5s)
[  5/50] random         0ed87c75239d73f8 seed=0 regret=0.1465 active=6 (2.0s)
[  6/50] lhs            0ed87c75239d73f8 seed=1 regret=0.1046 active=6 (1.6s)
[  6/50] sobol          0ed87c75239d73f8 seed=1 regret=0.3168 active=6 (1.5s)
[  6/50] random         0ed87c75239d73f8 seed=1 regret=0.2382 active=6 (1.5s)
[  7/50] lhs            32bb966a18f1d863 seed=0 regret=0.0709 active=6 (1.8s)
[  7/50] sobol          32bb966a18f1d863 seed=0 regret=0.2467 active=6 (1.4s)
[  7/50] random         32bb966a18f1d863 seed=0 regret=0.2431 active=6 (1.4s)
[  8/50] lhs            32bb966a18f1d863 seed=1 regret=0.0512 active=6 (1.4s)
