Version C §3.3 · ONE-SHOT HELD-OUT PASS · ('hartmann6', 'ackley')
frozen rule verified against committed docs/OPEN-QUESTIONS.md at 72c2a39f1
DECEPTIVE if additive_share outside [0.10542874984223577, 0.8860126525534584]
K-C7 does not fire iff BOTH families >= 33/50
100 campaigns · plate1=40 · grid=20000

[  1/100] hartmann6  d=6 s=0.25 seed=0  add=0.7021 -> UNIMODAL  (3.82s)
[  2/100] hartmann6  d=6 s=0.25 seed=1  add=0.7621 -> UNIMODAL  (4.0s)
[  3/100] hartmann6  d=6 s=0.25 seed=2  add=0.8063 -> UNIMODAL  (3.98s)
[  4/100] hartmann6  d=6 s=0.25 seed=3  add=0.7132 -> UNIMODAL  (4.65s)
[  5/100] hartmann6  d=6 s=0.25 seed=4  add=0.7099 -> UNIMODAL  (3.55s)
[  6/100] hartmann6  d=6 s=0.25 seed=5  add=0.7539 -> UNIMODAL  (4.53s)
[  7/100] hartmann6  d=6 s=0.25 seed=6  add=0.7451 -> UNIMODAL  (4.37s)
[  8/100] hartmann6  d=6 s=0.25 seed=7  add=0.8856 -> UNIMODAL  (4.11s)
[  9/100] hartmann6  d=6 s=0.25 seed=8  add=0.4993 -> UNIMODAL  (3.79s)
[ 10/100] hartmann6  d=6 s=0.25 seed=9  add=0.5345 -> UNIMODAL  (3.91s)
[ 11/100] hartmann6  d=6 s=0.25 seed=10 add=0.6567 -> UNIMODAL  (5.59s)
[ 12/100] hartmann6  d=6 s=0.25 seed=11 add=0.6736 -> UNIMODAL  (4.21s)
[ 13/100] hartmann6  d=6 s=0.25 seed=12 add=0.8022 -> UNIMODAL  (4.04s)
[ 14/100] hartmann6  d=6 s=0.25 seed=13 add=0.7914 -> UNIMODAL  (4.19s)
[ 15/100] hartmann6  d=6 s=0.25 seed=14 add=0.7385 -> UNIMODAL  (3.9s)
[ 16/100] hartmann6  d=6 s=0.25 seed=15 add=0.8033 -> UNIMODAL  (3.54s)
[ 17/100] hartmann6  d=6 s=0.25 seed=16 add=0.4596 -> UNIMODAL  (4.43s)
[ 18/100] hartmann6  d=6 s=0.25 seed=17 add=0.7270 -> UNIMODAL  (2.91s)
[ 19/100] hartmann6  d=6 s=0.25 seed=18 add=0.7108 -> UNIMODAL  (3.85s)
[ 20/100] hartmann6  d=6 s=0.25 seed=19 add=0.4827 -> UNIMODAL  (3.46s)
[ 21/100] hartmann6  d=6 s=0.25 seed=20 add=0.5046 -> UNIMODAL  (3.12s)
[ 22/100] hartmann6  d=6 s=0.25 seed=21 add=0.7650 -> UNIMODAL  (3.05s)
[ 23/100] hartmann6  d=6 s=0.25 seed=22 add=0.5949 -> UNIMODAL  (3.11s)
[ 24/100] hartmann6  d=6 s=0.25 seed=23 add=0.6960 -> UNIMODAL  (2.95s)
[ 25/100] hartmann6  d=6 s=0.25 seed=24 add=0.6016 -> UNIMODAL  (3.28s)
[ 26/100] hartmann6  d=6 s=0.1 seed=0  add=0.6449 -> UNIMODAL  (3.22s)
[ 27/100] hartmann6  d=6 s=0.1 seed=1  add=0.4599 -> UNIMODAL  (3.08s)
[ 28/100] hartmann6  d=6 s=0.1 seed=2  add=0.7578 -> UNIMODAL  (3.24s)
[ 29/100] hartmann6  d=6 s=0.1 seed=3  add=0.4751 -> UNIMODAL  (3.47s)
[ 30/100] hartmann6  d=6 s=0.1 seed=4  add=0.2673 -> UNIMODAL  (3.11s)
[ 31/100] hartmann6  d=6 s=0.1 seed=5  add=0.5325 -> UNIMODAL  (3.58s)
[ 32/100] hartmann6  d=6 s=0.1 seed=6  add=0.5778 -> UNIMODAL  (3.1s)
[ 33/100] hartmann6  d=6 s=0.1 seed=7  add=0.7159 -> UNIMODAL  (3.06s)
[ 34/100] hartmann6  d=6 s=0.1 seed=8  add=0.6125 -> UNIMODAL  (3.57s)
[ 35/100] hartmann6  d=6 s=0.1 seed=9  add=0.3040 -> UNIMODAL  (3.31s)
[ 36/100] hartmann6  d=6 s=0.1 seed=10 add=0.5922 -> UNIMODAL  (3.2s)
[ 37/100] hartmann6  d=6 s=0.1 seed=11 add=0.5808 -> UNIMODAL  (3.95s)
[ 38/100] hartmann6  d=6 s=0.1 seed=12 add=0.6247 -> UNIMODAL  (4.28s)
[ 39/100] hartmann6  d=6 s=0.1 seed=13 add=0.6593 -> UNIMODAL  (3.64s)
[ 40/100] hartmann6  d=6 s=0.1 seed=14 add=0.5440 -> UNIMODAL  (4.07s)
[ 41/100] hartmann6  d=6 s=0.1 seed=15 add=0.6903 -> UNIMODAL  (3.5s)
[ 42/100] hartmann6  d=6 s=0.1 seed=16 add=0.5180 -> UNIMODAL  (3.46s)
[ 43/100] hartmann6  d=6 s=0.1 seed=17 add=0.5761 -> UNIMODAL  (2.95s)
[ 44/100] hartmann6  d=6 s=0.1 seed=18 add=0.6122 -> UNIMODAL  (3.79s)
[ 45/100] hartmann6  d=6 s=0.1 seed=19 add=0.3918 -> UNIMODAL  (2.92s)
[ 46/100] hartmann6  d=6 s=0.1 seed=20 add=0.5555 -> UNIMODAL  (2.83s)
[ 47/100] hartmann6  d=6 s=0.1 seed=21 add=0.4827 -> UNIMODAL  (3.32s)
[ 48/100] hartmann6  d=6 s=0.1 seed=22 add=0.4434 -> UNIMODAL  (3.24s)
[ 49/100] hartmann6  d=6 s=0.1 seed=23 add=0.6256 -> UNIMODAL  (4.11s)
[ 50/100] hartmann6  d=6 s=0.1 seed=24 add=0.3923 -> UNIMODAL  (4.27s)
[ 51/100] ackley     d=6 s=0.25 seed=0  add=0.8434 -> UNIMODAL  (3.45s)
[ 52/100] ackley     d=6 s=0.25 seed=1  add=0.7783 -> UNIMODAL  (3.97s)
[ 53/100] ackley     d=6 s=0.25 seed=2  add=0.6337 -> UNIMODAL  (3.11s)
[ 54/100] ackley     d=6 s=0.25 seed=3  add=0.7713 -> UNIMODAL  (2.9s)
[ 55/100] ackley     d=6 s=0.25 seed=4  add=0.2949 -> UNIMODAL  (2.78s)
[ 56/100] ackley     d=6 s=0.25 seed=5  add=0.6794 -> UNIMODAL  (2.68s)
[ 57/100] ackley     d=6 s=0.25 seed=6  add=0.5347 -> UNIMODAL  (2.93s)
[ 58/100] ackley     d=6 s=0.25 seed=7  add=0.6668 -> UNIMODAL  (2.5s)
[ 59/100] ackley     d=6 s=0.25 seed=8  add=0.8534 -> UNIMODAL  (2.66s)
[ 60/100] ackley     d=6 s=0.25 seed=9  add=0.6691 -> UNIMODAL  (3.34s)
[ 61/100] ackley     d=6 s=0.25 seed=10 add=0.5126 -> UNIMODAL  (2.92s)
[ 62/100] ackley     d=6 s=0.25 seed=11 add=0.7313 -> UNIMODAL  (2.78s)
[ 63/100] ackley     d=6 s=0.25 seed=12 add=0.5309 -> UNIMODAL  (2.97s)
[ 64/100] ackley     d=6 s=0.25 seed=13 add=0.6704 -> UNIMODAL  (3.15s)
[ 65/100] ackley     d=6 s=0.25 seed=14 add=0.7385 -> UNIMODAL  (3.24s)
[ 66/100] ackley     d=6 s=0.25 seed=15 add=0.5965 -> UNIMODAL  (2.83s)
[ 67/100] ackley     d=6 s=0.25 seed=16 add=0.6643 -> UNIMODAL  (2.69s)
[ 68/100] ackley     d=6 s=0.25 seed=17 add=0.8079 -> UNIMODAL  (3.08s)
[ 69/100] ackley     d=6 s=0.25 seed=18 add=0.7614 -> UNIMODAL  (2.86s)
[ 70/100] ackley     d=6 s=0.25 seed=19 add=0.6431 -> UNIMODAL  (2.84s)
[ 71/100] ackley     d=6 s=0.25 seed=20 add=0.3585 -> UNIMODAL  (2.97s)
[ 72/100] ackley     d=6 s=0.25 seed=21 add=0.4853 -> UNIMODAL  (2.74s)
[ 73/100] ackley     d=6 s=0.25 seed=22 add=0.4934 -> UNIMODAL  (3.37s)
[ 74/100] ackley     d=6 s=0.25 seed=23 add=0.6940 -> UNIMODAL  (2.87s)
[ 75/100] ackley     d=6 s=0.25 seed=24 add=0.8135 -> UNIMODAL  (3.31s)
[ 76/100] ackley     d=6 s=0.1 seed=0  add=0.6298 -> UNIMODAL  (3.46s)
[ 77/100] ackley     d=6 s=0.1 seed=1  add=0.7035 -> UNIMODAL  (3.18s)
[ 78/100] ackley     d=6 s=0.1 seed=2  add=0.6266 -> UNIMODAL  (3.13s)
[ 79/100] ackley     d=6 s=0.1 seed=3  add=0.7076 -> UNIMODAL  (2.64s)
[ 80/100] ackley     d=6 s=0.1 seed=4  add=0.2964 -> UNIMODAL  (3.52s)
[ 81/100] ackley     d=6 s=0.1 seed=5  add=0.6339 -> UNIMODAL  (2.67s)
[ 82/100] ackley     d=6 s=0.1 seed=6  add=0.5599 -> UNIMODAL  (3.57s)
[ 83/100] ackley     d=6 s=0.1 seed=7  add=0.7242 -> UNIMODAL  (3.31s)
[ 84/100] ackley     d=6 s=0.1 seed=8  add=0.8305 -> UNIMODAL  (2.78s)
[ 85/100] ackley     d=6 s=0.1 seed=9  add=0.6791 -> UNIMODAL  (3.82s)
[ 86/100] ackley     d=6 s=0.1 seed=10 add=0.7123 -> UNIMODAL  (4.41s)
[ 87/100] ackley     d=6 s=0.1 seed=11 add=0.6562 -> UNIMODAL  (3.86s)
[ 88/100] ackley     d=6 s=0.1 seed=12 add=0.6354 -> UNIMODAL  (3.75s)
[ 89/100] ackley     d=6 s=0.1 seed=13 add=0.7032 -> UNIMODAL  (3.44s)
[ 90/100] ackley     d=6 s=0.1 seed=14 add=0.4644 -> UNIMODAL  (3.42s)
[ 91/100] ackley     d=6 s=0.1 seed=15 add=0.6321 -> UNIMODAL  (4.06s)
[ 92/100] ackley     d=6 s=0.1 seed=16 add=0.6240 -> UNIMODAL  (3.63s)
[ 93/100] ackley     d=6 s=0.1 seed=17 add=0.7346 -> UNIMODAL  (3.14s)
[ 94/100] ackley     d=6 s=0.1 seed=18 add=0.6930 -> UNIMODAL  (3.49s)
[ 95/100] ackley     d=6 s=0.1 seed=19 add=0.5296 -> UNIMODAL  (3.13s)
[ 96/100] ackley     d=6 s=0.1 seed=20 add=0.5492 -> UNIMODAL  (4.07s)
[ 97/100] ackley     d=6 s=0.1 seed=21 add=0.4152 -> UNIMODAL  (3.22s)
[ 98/100] ackley     d=6 s=0.1 seed=22 add=0.5281 -> UNIMODAL  (3.33s)
[ 99/100] ackley     d=6 s=0.1 seed=23 add=0.7059 -> UNIMODAL  (3.44s)
[100/100] ackley     d=6 s=0.1 seed=24 add=0.7139 -> UNIMODAL  (3.03s)

======================================================================
  hartmann6     0/50 DECEPTIVE  rate 0.000  Wilson95 [0.000, 0.071]  clears=False
  ackley        0/50 DECEPTIVE  rate 0.000  Wilson95 [0.000, 0.071]  clears=False

  K-C7: FIRED -- ship WITHOUT Stage 0 (§3.6)
======================================================================
wrote versionc-detector-heldout.json · 100 rows
